m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.48016,-53933852872.70442,-589120540.5485235,28689.870123806264,-27502.68157950521,-4878.693714559068
4.867466257521635e+24,85867685278.11972,65805003527.71844,-4048904997.67605,-21408.57774382279,27647.2065841698,1615.4095554862934
5.972365262433514e+24,-2117988288.7166722,147133540603.15857,-10349405.051821608,-30266.394613754703,-531.6867427516722,-0.38012636262165883
7.346031390779777e+22,-2486870167.972103,147295919070.92975,-38371067.86545581,-30671.102591065326,-1410.1597316097107,52.05354172510505
6.417120205436417e+23,-246481683319.85455,-8600683429.072786,5860214478.739902,1745.103739939496,-22144.031758048724,-506.87657196307686
1.8981871943454438e+27,490753637407.8139,-581147155569.1653,-8562708687.53233,9832.079964872399,9048.202999445528,-257.558101096459
5.683361026390224e+26,-74249896608.97514,1346078553895.0266,-20401998201.443424,-10161.811912899288,-546.7861262871268,414.34097669858335
8.681273407389496e+25,40663727514.43924,2844899353345.1924,9998455885.888311,-6853.394991055362,-214.4836668281649,87.77182051838525
1.0241261669693524e+26,4280568711705.964,1262752179710.341,-124779536614.58627,-1567.4746291429249,5253.583105065037,-72.35860962752768
0.0,-2338110656.044056,147203811507.93436,-22459956.865635917,-36209.73460282277,11216.369423850094,-2222.670758649992
0.0,-2244934439.460904,147176407936.87573,-17072790.486525934,-36052.089658788274,11407.263642870998,-2261.310971354911
0.0,-2423288341.4073925,147229090137.54227,-27455427.21028348,-36269.98512340344,11135.105233640088,-2208.7785418979097
0.0,-2412280673.4881797,147225814780.9481,-26805810.030724406,-36264.124995996644,11143.272246850058,-2210.0780103789225
0.0,-2302525861.096674,147193301836.58865,-20388168.9804456,-36168.331567841145,11268.871949922897,-2232.593625929525
0.0,-2313186463.2266593,147196451484.70258,-21007726.85793191,-36182.30447895702,11251.392622330575,-2229.2241811564213
0.0,-2496599556.4747915,147250931312.31824,-31778425.917886596,-36298.3762384687,11092.75279578239,-2202.539555231018
0.0,-2416938827.568471,147227198148.59607,-27079855.61378162,-36266.65885195663,11139.74799522232,-2209.5144777493047
0.0,-2477417719.9493847,147245213251.23193,-30647913.73406233,-36292.96861080424,11102.303096939408,-2203.8689356988575
0.0,-2331074271.0343847,147201735917.9321,-22049488.551365234,-36202.631908917465,11225.53406810983,-2224.3601040190683
0.0,-2314533131.2624226,147196837755.1914,-21084993.43395883,-36183.98132266993,11249.301937585209,-2228.8216404224195
0.0,-2220925699.9984775,147169445336.80795,-15718117.742928697,-35964.843669635746,11505.46317312416,-2283.5306410307276
0.0,-2676598934.650264,147304620029.66794,-42440808.07757428,-36335.16082138696,11010.531335321915,-2192.5030512367307
0.0,-2507473744.6340733,147254176059.67215,-32422074.93357672,-36300.84575832404,11087.229733005212,-2201.7810333732846
0.0,-2525983428.7204776,147259696621.84946,-33517063.12400216,-36304.82525173351,11077.353017496958,-2200.4448232943428
0.0,-2248321512.849351,147177397049.31125,-17266527.925843984,-36061.78039347414,11396.093429149365,-2258.8711283569983
0.0,-2376212699.396599,147215104030.8616,-24688312.72231719,-36241.50198138779,11174.309186149758,-2215.2258816196395
0.0,-2515333949.3089967,147256518070.03854,-32886650.751595326,-36302.52951449258,11083.089851559584,-2201.2178527970077
0.0,-2206592751.279763,147165318121.3339,-14918613.74824627,-35889.94020902348,11586.990217330083,-2303.056498681859
0.0,-2398932260.409106,147221855742.03156,-26023714.295098953,-36256.40526468973,11153.95250150534,-2211.8110424354322
0.0,-2099468494.357709,147127827314.1187,-7539586.069306663,-37610.922861125546,11983.081790322114,-2431.328168324179
0.0,-2132682671.2096097,147145496925.64188,-11640176.22595645,-33100.05256314575,13585.812713100591,-3204.883048107864
0.0,-2447291950.3920918,147236241059.43793,-28869599.19429283,-36281.3814174942,11119.11908088275,-2206.3237038175275
0.0,-2526092232.4378247,147259731521.4735,-33524184.695244405,-36304.84747676046,11077.295232399905,-2200.4360814847387
0.0,-2463891952.826639,147241184637.80008,-29848585.54742409,-36288.18305274867,11109.447394075934,-2204.8939391572635
0.0,-2362202166.5623198,147210952840.8346,-23868519.19990757,-36230.95121095508,11188.468358581446,-2217.676877654845
0.0,-2232575520.2854447,147172812327.6158,-16372782.928874366,-36011.808032846224,11453.102238946018,-2271.50058675858
0.0,-2392641158.2833133,147219979861.91104,-25652516.760790356,-36252.52431157055,11159.297784070932,-2212.6938895889866
0.0,-2482420704.4255304,147246706894.10623,-30944355.368931428,-36294.53679270623,11099.782036913732,-2203.512136522219
0.0,-2151457658.5894446,147150008005.6609,-12102154.484523619,-34979.775515291985,12433.675659636801,-2564.8691536419
0.0,-2264448106.2532825,147182103290.97418,-18187159.465036407,-36101.781124404784,11349.39827975679,-2248.9021436349394
0.0,-1750168800.2770333,147016731553.36267,14345553.210360767,-36489.204516295,11117.158878232547,-2183.065391156215
0.0,-2282998307.5432067,147187551782.71692,-19257593.83448596,-36138.041372889544,11306.01766522921,-2239.963968405814
0.0,-2355672862.5484037,147209015562.4174,-23486859.701966908,-36225.62170986369,11195.5488649269,-2218.923642571522
0.0,-2147896042.805484,147149094131.25702,-11961390.325204603,-34801.65986578029,12573.523716255073,-2620.506127086148
0.0,-2499777706.4182153,147251881502.21082,-31968845.497923855,-36299.12640516688,11091.164599858463,-2202.3183005898663
0.0,-2101283184.7500138,147128520625.5058,-7686010.8782027755,-37737.449246895965,12079.505405521331,-2465.635736275235
0.0,-2332928177.5678754,147202273474.4207,-22156003.48240795,-36204.56144511037,11223.066665113141,-2223.9018399855877
0.0,-2081769484.0377107,147121467636.90192,-6247895.800390085,-37041.92090191067,11527.948855660446,-2291.4703735884173
0.0,-2236444013.46631,147173940030.97952,-16591690.159622602,-36025.31255659427,11437.817674035228,-2268.0711358962317
0.0,-2213254980.5293365,147167219768.18015,-15284305.687009022,-35927.684916826234,11546.269565000239,-2293.2057605718433
0.0,-2302226316.4204617,147193210091.6928,-20370031.8270668,-36167.92200528428,11269.38739380426,-2232.6942437823764
0.0,-2191874098.817153,147161117866.7142,-14115209.251944529,-35782.21912060851,11700.416569839343,-2331.7266646764097
0.0,-2199161484.5165854,147163185670.76562,-14508248.65844682,-35840.57464258356,11639.540306112294,-2316.1345362053603
0.0,-1932568242.021818,147073490592.01968,3211872.318271996,-36550.62089397611,11138.17946511366,-2193.52399725736
0.0,-2194780554.81492,147161937282.41965,-14268694.746617857,-35806.88795409506,11674.856369821304,-2325.149780401515
0.0,-2199935537.9315643,147163408234.00952,-14550447.357457185,-35846.13414883852,11633.66001473174,-2314.6608229472945
0.0,-2624278756.7306366,147289019400.5088,-39337696.92264597,-36326.209510063476,11030.527440849906,-2194.649342542885
0.0,-2779388778.8067956,147335272727.54044,-48542596.14994499,-36348.50068926085,10976.801739460225,-2189.3578239067356
0.0,-2384898753.7473903,147217684271.81863,-25199451.96435996,-36247.49127467365,11166.177219226101,-2213.844101470019
0.0,-2427085997.0214434,147230223680.3751,-27678685.80316812,-36271.909332402436,11132.411136708968,-2208.358138056142
0.0,-2253083662.710452,147178782498.05936,-17537603.467226606,-36074.599884865835,11381.252991056954,-2255.6627448746144
0.0,-2521703631.3001413,147258414935.38617,-33262656.660190113,-36303.89631037174,11079.668275049646,-2200.7548242350845
0.0,-2154600005.4278197,147150827359.81284,-12233448.022189122,-35107.70072317157,12328.515277027584,-2525.8583155079727
0.0,-2330207714.8296146,147201477843.44006,-22001239.60055131,-36201.726644879986,11226.703884483466,-2224.569616294347
0.0,-2392489889.0159826,147219935109.73972,-25643916.500238307,-36252.42814251013,11159.430193341332,-2212.715672750663
0.0,-2357918915.88863,147209685252.6514,-23618841.552062687,-36227.483296657854,11193.07678444601,-2218.485713905599
0.0,-2566214375.6282735,147271698942.84683,-35898530.816951215,-36314.034974882365,11056.392062733197,-2197.725539794212
0.0,-2230788657.918139,147172300750.42328,-16271900.5222537,-36005.21556324894,11460.490929517206,-2273.183541261209
0.0,-2340453992.567561,147204501136.7121,-22595527.759442914,-36212.003418253575,11213.428734922983,-2222.1360895927105
0.0,-2078877926.0662227,147120472389.6382,-6048650.285718988,-36997.62293786721,11491.436871376643,-2281.691368656312
0.0,-2438048123.6912265,147233482322.2388,-28323829.78253347,-36277.211023096155,11124.987732371905,-2207.211768420693
0.0,-2306753629.3689456,147194549532.0755,-20634154.032079164,-36174.062723878975,11261.732568857327,-2231.2075719518575
0.0,-2301956742.7660575,147193138840.34622,-20355553.711388864,-36167.53133511784,11269.854714860634,-2232.786942257614
0.0,-2300607243.5172167,147192732947.60983,-20277923.54590498,-36165.64793260802,11272.209088098252,-2233.238457796862
0.0,-1728554784.376724,147010038541.89426,15655638.424684254,-36485.72658653449,11117.877571518953,-2182.4837086873144
0.0,-2047335506.4762425,147109962126.51233,-3965884.628814606,-36747.4670417035,11285.706005888562,-2229.8548474258478
0.0,-1852701212.815059,147048562413.31058,8106136.580577771,-36513.40171347382,11120.248020242465,-2187.1387449396057
0.0,-2253263668.180173,147178837720.9145,-17547611.83863686,-36075.057933621756,11380.710901956047,-2255.551446499141
0.0,-1920540214.6670606,147069721520.56952,3952203.1667091027,-36543.1085040674,11133.867470491617,-2192.2229949080574
0.0,-2187170742.239122,147159785303.74548,-13860631.434349494,-35737.95667225815,11745.83729223397,-2343.7552559748783
