m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.483444,-53933852872.70126,-589120540.5479645,28689.870123804263,-27502.681579507804,-4878.693714559096
4.867466257521635e+24,85867685278.12216,65805003527.71527,-4048904997.676235,-21408.57774382176,27647.206584170588,1615.4095554862452
5.972365262433514e+24,-2117988288.7132044,147133540603.1586,-10349405.051821565,-30266.39461375471,-531.6867427509713,-0.38012636262147603
7.346031390779777e+22,-2486870167.9685884,147295919070.92987,-38371067.865461715,-30671.102591065588,-1410.1597316088987,52.053541725085985
6.417120205436417e+23,-246481683319.8548,-8600683429.07025,5860214478.73996,1745.1037399392471,-22144.031758048735,-506.87657196307094
1.8981871943454438e+27,490753637407.8129,-581147155569.1664,-8562708687.5323,9832.079964872415,9048.202999445508,-257.5581010964593
5.683361026390224e+26,-74249896608.97397,1346078553895.0269,-20401998201.44347,-10161.811912899288,-546.7861262871186,414.3409766985831
8.681273407389496e+25,40663727514.440025,2844899353345.1924,9998455885.888298,-6853.394991055364,-214.48366682816302,87.77182051838525
1.0241261669693524e+26,4280568711705.9644,1262752179710.3403,-124779536614.58626,-1567.4746291429235,5253.583105065037,-72.35860962752771
0.0,-2563107363.698044,147270777821.88745,-35717029.30013861,-36313.32026503933,11057.921066073688,-2197.915280238434
0.0,-2437338569.7091155,147233276315.1036,-28282683.583103947,-36276.87653997585,11125.451269028985,-2207.2826217198153
0.0,-2332945917.9554358,147202290719.55603,-22160822.313117485,-36204.56118260201,11223.04940190902,-2223.8951523783007
0.0,-2437725449.1001954,147233390917.8741,-28306306.05766156,-36277.05717079181,11125.199583255622,-2207.242939263499
0.0,-2320553757.880948,147198616893.37735,-21434563.45571568,-36191.125845885115,11240.256132852528,-2227.1096032457476
0.0,-2517652193.516402,147257213662.22678,-33026385.518850673,-36303.02059366591,11081.854038377112,-2201.0482987482105
0.0,-2662840291.529918,147300514176.09116,-41624593.90855231,-36332.97677282582,11015.557511189489,-2193.0229496287516
0.0,-2565319335.099534,147271430039.14575,-35846244.75908324,-36313.830549358456,11056.833272912381,-2197.77935305251
0.0,-2351663581.628988,147207827813.86035,-23253106.33942534,-36222.200661160925,11200.06858440472,-2219.7248356990053
0.0,-2592449870.545774,147279521666.11362,-37452923.94259392,-36319.83165450187,11044.11511044347,-2196.2223703272048
0.0,-2490172958.5142508,147249013316.66708,-31398937.073162545,-36296.74431127265,11095.938872629575,-2202.9790883532874
0.0,-2324760709.9678693,147199864073.25073,-21681619.747265372,-36195.86509567333,11234.215739756619,-2225.971006423162
0.0,-2197837502.0498095,147162811075.14706,-14436047.337023102,-35830.76304802161,11649.84571339092,-2318.751570166472
0.0,-2341588957.305956,147204842378.09668,-22663377.058539312,-36213.075578530115,11212.025307417442,-2221.8795004990693
