m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.48204,-53933852872.70262,-589120540.5482047,28689.87012380512,-27502.681579506687,-4878.693714559084
4.867466257521635e+24,85867685278.12114,65805003527.71663,-4048904997.676155,-21408.577743822203,27647.206584170253,1615.4095554862654
5.972365262433514e+24,-2117988288.7146943,147133540603.15857,-10349405.051821582,-30266.394613754706,-531.6867427512726,-0.3801263626215549
7.346031390779777e+22,-2486870167.970098,147295919070.9298,-38371067.86545916,-30671.102591065475,-1410.159731609248,52.053541725094206
6.417120205436417e+23,-246481683319.85477,-8600683429.071342,5860214478.739934,1745.103739939354,-22144.031758048728,-506.87657196307333
1.8981871943454438e+27,490753637407.8133,-581147155569.1663,-8562708687.532314,9832.079964872411,9048.202999445519,-257.55810109645904
5.683361026390224e+26,-74249896608.97444,1346078553895.0266,-20401998201.44346,-10161.811912899284,-546.786126287122,414.34097669858335
8.681273407389496e+25,40663727514.43968,2844899353345.1924,9998455885.888311,-6853.394991055364,-214.48366682816382,87.77182051838523
1.0241261669693524e+26,4280568711705.9624,1262752179710.3406,-124779536614.58627,-1567.4746291429244,5253.583105065037,-72.35860962752773
0.0,-2137722893.6933255,147146597206.18918,-11663901.332093308,-33940.47542450724,13154.03601816396,-2905.3312580765614
0.0,-2144971868.3486283,147148355170.77646,-11856909.664434372,-34619.97115468652,12708.82284790684,-2678.42915300295
0.0,-2146245546.2964983,147148667415.3548,-11899220.610504633,-34704.169707455934,12647.317804625041,-2651.541283729515
0.0,-2166081833.391618,147153919217.88037,-12773172.44585,-35429.69929876135,12044.851319323088,-2430.281401658064
0.0,-2174566198.017478,147156252562.70132,-13197324.439205851,-35582.086156276615,11900.685434506267,-2386.9386077861054
0.0,-2105349341.431737,147130129407.9104,-8033325.668457154,-38155.44659737544,12382.762422562973,-2586.2555436299517
0.0,-2173626913.7852836,147155995477.40598,-13151361.28457859,-35567.50199306472,11914.742986293526,-2390.986711155892
0.0,-2175360639.551462,147156472282.54556,-13238344.734192904,-35593.99973112338,11889.131355290914,-2383.5861665602993
0.0,-2154381589.153453,147150767746.16534,-12222956.061389614,-35099.62805703654,12335.324701824962,-2528.3664897541726
0.0,-2142560757.2338083,147147760025.23965,-11780526.23390117,-34437.455777807096,12837.407205023525,-2737.848019473935
0.0,-2165529671.7135253,147153770908.37823,-12746608.308069369,-35417.79736782636,12055.791631892482,-2433.709187777867
0.0,-2174607058.97657,147156259883.9021,-13197730.787491046,-35582.77785038432,11900.062584896034,-2386.7843602110365
0.0,-2081359653.1602325,147121326353.699,-6218944.419904455,-37035.224929810014,11522.430284080207,-2289.9881984476538
0.0,-2183824802.2780423,147158843985.9964,-13681360.898168078,-35702.50361039633,11781.71802062462,-2353.4774302272826
0.0,-2105041088.8720315,147130009271.0427,-8005877.209571091,-38114.85157571018,12353.925298123164,-2574.0321131187243
0.0,-2140571751.3394914,147147276563.58453,-11725368.943734057,-34258.04911240238,12957.170080581216,-2797.4430572660117
0.0,-2150018388.3909593,147149640069.00778,-12044930.954241721,-34912.487367572605,12487.28444078013,-2585.664130792982
0.0,-2156138107.056752,147151233990.705,-12303039.110848477,-35162.38707307228,12282.290018772457,-2509.2038962309844
0.0,-2161534829.978567,147152678571.6023,-12550186.323843492,-35323.09577518195,12141.90011416434,-2461.4772847699815
0.0,-2169002662.9038553,147154715506.6556,-12915818.399078907,-35488.08903911458,11990.44878813605,-2413.5721260999608
0.0,-2173962979.776144,147156087026.53244,-13166611.386454768,-35572.790192988905,11909.654343032515,-2389.5523879611046
0.0,-2173765919.691491,147156027410.47882,-13155000.104639707,-35569.80534601597,11912.60044121529,-2390.4269486807893
0.0,-2075337855.988078,147119263357.35107,-5807944.724835137,-36951.452916278766,11453.33237053408,-2271.6796406354274
0.0,-2157262186.1109834,147151542945.88647,-12355502.839841234,-35199.28029911527,12250.43082143607,-2498.073176815683
0.0,-2101100689.780393,147128450958.3075,-7670745.071300396,-37723.51334436207,12068.950985845624,-2461.8199792069017
0.0,-2153663898.22051,147150590876.0871,-12196213.8341024,-35071.671522381206,12358.32021697622,-2536.64747458546
0.0,-2156391225.4049854,147151302936.0547,-12314183.02052756,-35170.90904466119,12274.970449384773,-2506.6647248469367
0.0,-2176945874.969366,147156910236.36957,-13318772.33970178,-35616.81455126667,11866.898410001637,-2377.2355098368585
0.0,-2181260798.3254,147158125600.0684,-13547440.588697338,-35672.72477992449,11811.539260823287,-2361.644289296351
0.0,-2169443777.628424,147154833964.48618,-12936352.103653232,-35496.36397198091,11982.689931306282,-2411.2546463714893
0.0,-2169814249.932039,147154947554.36316,-12958802.484797884,-35502.91708466459,11976.33404787486,-2409.2848371267023
0.0,-2176640874.8551497,147156825355.95337,-13303695.699045144,-35612.529224170066,11871.094316244167,-2378.4126640295526
0.0,-2148697736.178021,147149301393.02353,-11992721.738097806,-34845.26701134067,12539.871232152991,-2606.724717872118
