m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.47904,-53933852872.705505,-589120540.5487128,28689.870123806933,-27502.681579504333,-4878.69371455906
4.867466257521635e+24,85867685278.11887,65805003527.71949,-4048904997.675988,-21408.577743823145,27647.206584169533,1615.40955548631
5.972365262433514e+24,-2117988288.717846,147133540603.15854,-10349405.051821623,-30266.394613754706,-531.6867427519093,-0.38012636262173166
7.346031390779777e+22,-2486870167.9732914,147295919070.9297,-38371067.865453705,-30671.102591065235,-1410.1597316099883,52.053541725112396
6.417120205436417e+23,-246481683319.8545,-8600683429.073645,5860214478.739883,1745.1037399395811,-22144.03175804872,-506.87657196307885
1.8981871943454438e+27,490753637407.81433,-581147155569.165,-8562708687.532339,9832.079964872395,9048.202999445535,-257.55810109645887
5.683361026390224e+26,-74249896608.97556,1346078553895.0269,-20401998201.443405,-10161.811912899284,-546.7861262871295,414.34097669858335
8.681273407389496e+25,40663727514.43898,2844899353345.1924,9998455885.888313,-6853.394991055364,-214.48366682816552,87.77182051838527
1.0241261669693524e+26,4280568711705.9634,1262752179710.3413,-124779536614.58627,-1567.4746291429246,5253.583105065036,-72.35860962752767
0.0,-2487058951.530582,147248087673.48694,-31215441.68493367,-36295.890002308166,11097.477416063195,-2203.1931594636594
0.0,-2338577553.5309863,147203951836.22348,-22487801.22593323,-36210.186253357766,11215.78036084022,-2222.5630374705934
0.0,-2551415504.618882,147267282618.51474,-35022567.54766251,-36310.61931935113,11063.826069880597,-2198.666944372961
0.0,-2457855291.59475,147239381771.08942,-29491840.540234383,-36285.821432829296,11112.83845367612,-2205.389205799696
0.0,-2511095151.4844604,147255258556.0307,-32638260.003829356,-36301.62246049554,11085.33896523189,-2201.5212750785126
0.0,-2260063526.5473523,147180826183.2777,-17938018.865654808,-36091.79570529471,11361.1459783763,-2251.37224214004
0.0,-2425830167.8521986,147229850045.37433,-27604894.232944813,-36271.27766304827,11133.29415993303,-2208.4959432673913
0.0,-2313693084.4841547,147196596816.15955,-21036512.35524144,-36182.93801813412,11250.603168723786,-2229.073050148751
0.0,-2415098687.730297,147226656548.57043,-26972909.388881408,-36265.66309180101,11141.129023943226,-2209.734624481253
0.0,-2514826360.5625887,147256374648.16818,-32860175.144327525,-36302.415810221144,11083.364393728856,-2201.2523081442955
0.0,-2610447042.034986,147284886227.75192,-38517521.83051897,-36323.532975649585,11036.274702414428,-2195.3030920173815
0.0,-2294417677.1208186,147190910445.6958,-19917718.561791163,-36156.573469963194,11283.405123408811,-2235.445174484416
0.0,-2503234102.9317193,147252914176.5463,-32172721.628050454,-36299.912648125144,11089.410866457065,-2202.0784279558966
