m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.48227,-53933852872.7024,-589120540.5481644,28689.870123804976,-27502.681579506872,-4878.6937145590855
4.867466257521635e+24,85867685278.1213,65805003527.7164,-4048904997.6761684,-21408.57774382213,27647.206584170308,1615.4095554862627
5.972365262433514e+24,-2117988288.7144442,147133540603.15857,-10349405.051821578,-30266.394613754706,-531.6867427512219,-0.3801263626215377
7.346031390779777e+22,-2486870167.969846,147295919070.9298,-38371067.865459666,-30671.102591065497,-1410.159731609188,52.053541725092494
6.417120205436417e+23,-246481683319.8547,-8600683429.071154,5860214478.739938,1745.1037399393358,-22144.031758048728,-506.87657196307293
1.8981871943454438e+27,490753637407.8134,-581147155569.1661,-8562708687.532311,9832.079964872411,9048.202999445515,-257.55810109645915
5.683361026390224e+26,-74249896608.97438,1346078553895.0273,-20401998201.443455,-10161.811912899286,-546.7861262871214,414.3409766985833
8.681273407389496e+25,40663727514.43975,2844899353345.1914,9998455885.888302,-6853.394991055364,-214.48366682816368,87.77182051838524
1.0241261669693524e+26,4280568711705.963,1262752179710.341,-124779536614.58623,-1567.4746291429244,5253.583105065036,-72.35860962752771
0.0,-2468969917.8792458,147242690193.9718,-30147009.359528124,-36290.07179685564,11106.695004882937,-2204.4961428952524
0.0,-2308175605.39694,147194976573.17044,-20720184.497527417,-36175.918993230654,11259.399805236595,-2230.750809438421
0.0,-2144571217.9545987,147148254028.31274,-11842980.473000683,-34592.01843829993,12729.030295013366,-2687.5086603240147
0.0,-2178982957.47276,147157479520.99664,-13425422.068999464,-35644.26963997207,11839.87530805721,-2369.572800266324
0.0,-2434183986.25542,147232330215.40036,-28094710.86385052,-36275.38883173619,11127.543666319663,-2207.605219656664
0.0,-2303600744.882177,147193620641.39795,-20451593.63720629,-36169.80987507499,11267.031378213112,-2232.2331029976867
0.0,-2350496944.5429144,147207482029.79187,-23184081.07879869,-36221.18456552997,11201.405735123286,-2219.965618248354
0.0,-2331568407.3609905,147201869859.6756,-22074590.707022578,-36203.163832557075,11224.868453043315,-2224.2400670577626
0.0,-2402389050.5686903,147222879259.21268,-26226070.02285455,-36258.473459262066,11151.101842319347,-2211.3436226798235
0.0,-2673940602.900582,147303822997.05472,-42283311.39620908,-36334.748150294065,11011.493411695306,-2192.600700318798
0.0,-2325837041.335514,147200186913.47708,-21744858.600558344,-36197.04223867461,11232.702718842265,-2225.689965315295
0.0,-2681483474.6224465,147306069632.33893,-42729310.866011456,-36335.911612041025,11008.7854194176,-2192.3252667449347
0.0,-2173877220.6808915,147156061436.57275,-13161698.502391016,-35571.48721548067,11910.936667011814,-2389.930558197172
0.0,-2323434414.5581284,147199466049.18747,-21602868.93709037,-36194.39917707039,11236.095858901941,-2226.323927098275
0.0,-2500455451.5988975,147252078586.94348,-32006671.808324825,-36299.286554836915,11090.819976563234,-2202.2717064368353
0.0,-2439981866.723424,147234066543.39285,-28440350.323804017,-36278.10073248138,11123.730791410197,-2207.0186421413523
0.0,-2406877997.2512875,147224213698.1384,-26489624.56277517,-36261.08241854073,11147.491414072092,-2210.757761621479
0.0,-2390796425.2233047,147219437978.0166,-25546573.722663317,-36251.34547805154,11160.907130235835,-2212.9595368928794
0.0,-2577011788.302202,147274923452.21634,-36539321.67334541,-36316.47041027539,11051.205495884098,-2197.0811007412594
0.0,-2425692179.154342,147229802243.79904,-27595009.633990675,-36271.21327341148,11133.390187403633,-2208.511960213436
0.0,-2319667054.6809654,147198356302.2341,-21383219.06829665,-36190.09788498118,11241.559240403874,-2227.3549170813653
0.0,-2447589367.2040963,147236319129.02374,-28883584.711036116,-36281.5185517351,11118.934156512576,-2206.2975242064526
0.0,-2161189906.184618,147152589498.8131,-12535485.975734094,-35313.943860455896,12150.004974471949,-2464.1056161627494
0.0,-2472037366.145856,147243607867.00217,-30328494.33749645,-36291.15800659131,11105.075626822532,-2204.264744573416
0.0,-2227599665.750698,147171374644.0979,-16090993.017265858,-35992.97513753667,11474.21419443782,-2276.319301063807
0.0,-2428328104.4525647,147230593110.74115,-27752013.096235007,-36272.52947750688,11131.543361694903,-2208.222369230368
0.0,-2827534399.693406,147349631771.43723,-51404977.95670097,-36353.35915112061,10962.709815099099,-2188.2135595487034
0.0,-2227508669.741842,147171344747.4753,-16086189.347552737,-35992.63151985525,11474.614384225066,-2276.40226708515
0.0,-2516216235.399016,147256784938.99896,-32941690.33089338,-36302.71429451346,11082.62294222187,-2201.1517088891155
0.0,-2314874865.0332685,147196949406.92303,-21107843.75870312,-36184.37978462755,11248.78079149307,-2228.719010895414
0.0,-2462684218.034359,147240821820.51022,-29776077.298796903,-36287.72257777981,11110.113742820307,-2204.9925363060456
0.0,-2188765968.4288125,147160232131.65753,-13944482.542070854,-35753.69499689092,11729.799290888772,-2339.5004882041353
0.0,-2507244359.4001865,147254110698.55518,-32410995.986248504,-36300.7941120356,11087.349716974957,-2201.794894504619
0.0,-2518885347.0999265,147257584016.88742,-33098498.683838982,-36303.28401498805,11081.188961460572,-2200.959312814399
0.0,-2299196237.393441,147192321150.03598,-20195754.672812913,-36163.62675412333,11274.702300384219,-2233.729920714129
0.0,-2482035414.0808115,147246593974.75226,-30920372.69956427,-36294.41903690077,11099.974326323229,-2203.5422144006593
0.0,-2308043837.719831,147194920712.72238,-20706576.483251624,-36175.77889833702,11259.605483910835,-2230.7989145600395
0.0,-1849009106.857072,147047413220.52692,8332695.989952922,-36512.211790390524,11119.867307838107,-2186.9379149298175
0.0,-2105784156.0205157,147130306792.8005,-8071958.542067799,-38216.97723169146,12425.362074317598,-2604.962596136496
0.0,-2836793799.279986,147352390376.28952,-51957093.86753945,-36354.2149822126,10960.096828403075,-2188.00939970489
0.0,-2361976741.9353766,147210886395.31116,-23856698.57165611,-36230.77111306361,11188.707925857223,-2217.7169121622387
0.0,-2449115738.4752016,147236778076.7904,-28975301.31551182,-36282.1776967323,11118.000931172852,-2206.156864119352
0.0,-2431871282.8414063,147231650955.52963,-27961668.785179388,-36274.26745089931,11129.107261873207,-2207.8440623448423
0.0,-2578550525.800277,147275380189.69324,-36630199.75401176,-36316.81308510221,11050.482918780257,-2196.9926570893285
0.0,-2375015910.2173214,147214749451.01822,-24619752.290776238,-36240.64375986933,11175.469978220926,-2215.4208829357317
0.0,-2177071620.1346264,147156942202.58444,-13324683.646671297,-35618.61346129892,11865.172193750144,-2376.7420832705993
0.0,-2304393375.183296,147193853929.9277,-20498004.318179585,-36170.892831745026,11265.68439462927,-2231.9699896325023
0.0,-2233812412.6173306,147173172706.07428,-16441073.781340644,-36016.22723047082,11448.108732281406,-2270.3880742811043
0.0,-2553260984.3100777,147267827972.3715,-35130746.258459456,-36311.050009839724,11062.879750455908,-2198.546309464176
0.0,-2495855688.1976523,147250718247.7006,-31737400.92695635,-36298.18990870284,11093.126283765565,-2202.5903020952455
0.0,-2354155578.036282,147208562482.5636,-23398235.54768741,-36224.344659990784,11197.243674272817,-2219.2221879789363
0.0,-2554810404.545393,147268290153.7793,-35220905.584376946,-36311.410398968896,11062.085743907395,-2198.446087090854
0.0,-2412126036.739307,147225771918.6045,-26799197.27079553,-36264.036471613224,11143.39299309602,-2210.093849279836
0.0,-2568430924.2511096,147272363054.07144,-36030928.41368155,-36314.538135785384,11055.313609626071,-2197.589962993174
0.0,-2462659156.9180517,147240822105.1357,-29777352.69343401,-36287.708431923485,11110.128211540185,-2204.9912782777733
0.0,-2407976674.3098097,147224535015.29456,-26552112.320313033,-36261.71458765074,11146.618852329197,-2210.61798971704
0.0,-2162477894.2993493,147152943562.5461,-12598101.170219675,-35346.81613391418,12120.412278475025,-2454.41623942874
0.0,-2535153742.14127,147262432171.98346,-34061114.686749555,-36306.87176983019,11072.400854801745,-2199.7841419056535
0.0,-2350007776.484437,147207337925.23514,-23155447.09762114,-36220.75422155948,11201.97066400554,-2220.066921977576
0.0,-2268442183.7208385,147183274874.37054,-18416935.80319191,-36110.34597677546,11339.246429114692,-2246.781675281942
0.0,-2610684566.348343,147284959495.97607,-38533346.95134031,-36323.57831582912,11036.176860145823,-2195.2903628186255
0.0,-2438420023.2871175,147233604375.13483,-28348946.327621017,-36277.375973703216,11124.746433737082,-2207.1740022495023
0.0,-2294403547.4108386,147190904990.4785,-19915825.80962614,-36156.554826192354,11283.430893698773,-2235.453589489915
0.0,-2414356837.2895975,147226431628.16437,-26926980.983847905,-36265.263887883855,11141.68861883224,-2209.826274653223
0.0,-2198503335.4028645,147163001425.4666,-14473342.57477432,-35835.71918349509,11644.631426453487,-2317.4165406049497
0.0,-2446018198.8296137,147235862951.3551,-28795200.7894901,-36280.82132393436,11119.906911466436,-2206.440953155968
0.0,-2329265669.8201423,147201194610.81216,-21943432.535959512,-36200.74164575259,11227.9744591341,-2224.8106604584223
0.0,-2281993634.52999,147187255091.38214,-19200116.619837668,-36136.28998591653,11308.142147498771,-2240.3913223040504
0.0,-2300161556.47589,147192604593.15958,-20251317.492148824,-36165.0100388109,11272.992311902713,-2233.3966951708703
0.0,-2357458191.1562386,147209544822.58716,-23590894.207501914,-36227.10835946515,11193.57833210355,-2218.576032353178
0.0,-2386140370.9096127,147218053338.9072,-25273921.29205778,-36248.316134566834,11165.052376194373,-2213.6508778912853
0.0,-2574581435.632927,147274179909.18365,-36390108.63841496,-36315.93693565521,11052.354526021842,-2197.2243361874002
0.0,-2323693653.32462,147199555753.4277,-21622843.821437128,-36194.66709394165,11235.733995429422,-2226.2504598544674
0.0,-2244672352.485584,147176338047.10217,-17060574.121607985,-36051.29140658048,11408.159677424337,-2261.4979985904656
0.0,-2311970578.986092,147196088306.67966,-20937994.638781786,-36180.79406685472,11253.30121695052,-2229.582320286999
0.0,-2441132733.4268446,147234399590.16125,-28503061.228046432,-36278.63528071996,11122.987588033906,-2206.9097910654327
0.0,-2564271810.00871,147271111504.56754,-35783557.00590743,-36313.593513385036,11057.349188052096,-2197.842445458622
0.0,-2411176440.470887,147225491482.88776,-26740721.543285564,-36263.50967439425,11144.120753759153,-2210.216368923211
0.0,-2242665671.1371207,147175743694.60406,-16943990.621290643,-36045.31075370965,11415.051146250833,-2263.0141400772545
0.0,-2424006459.5128736,147229302177.81146,-27494678.489663243,-36270.35546375806,11134.587341143822,-2208.70166315736
0.0,-2519981769.8880973,147257912759.62103,-33164108.101758186,-36303.51824905427,11080.59928076026,-2200.8792323466214
0.0,-2487880340.5704775,147248329680.79382,-31264573.873762794,-36296.120132942735,11097.072692924286,-2203.136607453445
0.0,-2434502855.3118777,147232427386.5787,-28114425.357883133,-36275.539044372716,11127.331995001536,-2207.5715855640515
0.0,-2285464865.3687677,147188278857.90927,-19400770.99714096,-36142.253864225284,11300.901249134795,-2238.932165022367
0.0,-2062206498.7446811,147114859054.0739,-4933976.786248655,-36830.75010693219,11353.747094856872,-2246.4405239585944
0.0,-2794769645.9808135,147339865504.70917,-49458995.86366553,-36350.13048037065,10972.204338981212,-2188.9725411408704
0.0,-2287700195.0243,147188938401.40305,-19530917.927987937,-36145.9640684344,11296.381890623752,-2238.022515415828
0.0,-2478189383.3036876,147245437725.5773,-30690075.296521943,-36293.22188373046,11101.90793679047,-2203.8162473971424
0.0,-2433737162.386752,147232205380.33127,-28070664.84691903,-36275.16861969607,11127.845566821221,-2207.650224323805
0.0,-2334504526.349469,147202746726.5462,-22250039.277432226,-36206.15247621783,11221.003339533903,-2223.5209437219078
0.0,-2462692319.2673745,147240821795.23416,-29775783.938785963,-36287.727435952496,11110.108263870892,-2204.9913555766793
0.0,-2592376101.36044,147279500135.656,-37447786.49506992,-36319.81627658309,11044.146486938595,-2196.227127261146
0.0,-2144233257.502189,147148170279.57285,-11831814.5921803,-34567.69804775316,12746.422450714832,-2695.399522752315
0.0,-2069918224.320431,147117428106.22647,-5441524.654238286,-36893.73608099244,11405.69637571208,-2259.460261001078
0.0,-2368692557.5312705,147212868739.93878,-24246686.059418835,-36235.99031683884,11181.73986921319,-2216.504311026279
0.0,-1998251761.0023866,147094195325.38766,-857249.2675048945,-36617.79130825925,11183.943589749528,-2205.447656087613
0.0,-2451933853.2299423,147237618674.08432,-29141530.91182236,-36283.3799069865,11116.301461303234,-2205.902096607104
0.0,-2387407337.3666325,147218426457.70404,-25345235.944453236,-36249.154737679404,11163.90980335381,-2213.4636921599276
0.0,-2497931381.1095505,147251328906.93668,-31858887.149050586,-36298.69415010822,11092.09117030901,-2202.446324618679
0.0,-2177192139.4827504,147156986548.59882,-13333838.423577484,-35620.11707386972,11863.573013020216,-2376.2689432626053
0.0,-2427155994.9956684,147230243150.06055,-27682545.358695496,-36271.94532112382,11132.3621753127,-2208.3509755231735
0.0,-2333171022.317567,147202351885.36505,-22171603.986959126,-36204.799918268574,11222.748960397836,-2223.84385771646
