#jd0_246080050-Nast_20000-obj_2024_YR4-orbit_57
m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.48,-53933852872.70453,-589120540.5485461,28689.870123806326,-27502.681579505097,-4878.693714559068
4.867466257521635e+24,85867685278.1196,65805003527.71858,-4048904997.6760435,-21408.57774382285,27647.206584169777,1615.4095554862952
5.972365262433514e+24,-2117988288.7168121,147133540603.1585,-10349405.05182161,-30266.39461375472,-531.6867427517006,-0.3801263626216699
7.346031390779777e+22,-2486870167.9722447,147295919070.9297,-38371067.865455545,-30671.10259106533,-1410.1597316097439,52.05354172510615
6.417120205436417e+23,-246481683319.8546,-8600683429.072886,5860214478.7399025,1745.1037399395066,-22144.031758048714,-506.8765719630771
1.8981871943454438e+27,490753637407.81415,-581147155569.1655,-8562708687.532328,9832.079964872397,9048.202999445524,-257.558101096459
5.683361026390224e+26,-74249896608.9752,1346078553895.0264,-20401998201.443428,-10161.811912899288,-546.7861262871273,414.34097669858335
8.681273407389496e+25,40663727514.43923,2844899353345.1895,9998455885.888311,-6853.394991055363,-214.48366682816496,87.77182051838525
1.0241261669693524e+26,4280568711705.9683,1262752179710.3406,-124779536614.58638,-1567.4746291429249,5253.583105065038,-72.35860962752768
0.0,-2550160870.7681456,147266902004.30396,-34946327.27790066,-36310.3317835862,11064.472069063886,-2198.751786242336
0.0,-2004460177.366782,147096169701.5989,-1248019.396032422,-36628.09013544225,11191.63046384431,-2207.3170278978164
0.0,-2355421901.2805395,147208936622.027,-23470855.17213984,-36225.416021802834,11195.828514853625,-2218.9744469144
0.0,-2168026369.7069235,147154442036.4741,-12864928.975093983,-35469.49937683105,12007.975083473684,-2418.963154327988
0.0,-2200678697.5608053,147163613231.49347,-14589407.511613214,-35851.44600209935,11628.091851230804,-2313.264654462554
0.0,-2143968248.4652655,147148102841.5638,-11822532.879408784,-34548.30472140359,12760.273890095059,-2701.7675119320547
0.0,-2624838138.656502,147289179831.05115,-39370311.95336138,-36326.31752379244,11030.299766433629,-2194.6239825583307
0.0,-2282359222.244743,147187371173.9945,-19223028.397956993,-36136.91061408394,11307.37024707722,-2240.2347638128103
0.0,-2205105320.696271,147164884653.76913,-14834811.194044653,-35880.787680431815,11596.840348160373,-2305.480023433785
0.0,-2462290770.7834234,147240703145.4184,-29754040.516688816,-36287.5715924204,11110.33254385638,-2205.021404845868
0.0,-2143672228.622204,147148027685.41025,-11813397.269994609,-34526.13824791445,12776.028915261395,-2708.894078561388
0.0,-2422511081.219739,147228857389.3671,-27409282.596270297,-36269.58621480491,11135.66368042507,-2208.8664585586025
0.0,-2321074531.1765795,147198776378.07092,-21467240.956837364,-36191.71454377426,11239.49895844309,-2226.9627995246888
0.0,-2331378725.594553,147201817084.95786,-22067116.657527074,-36202.960775445485,11225.126518752384,-2224.279198873155
0.0,-2244348336.422402,147176240424.25128,-17041183.78227225,-36050.34584659697,11409.254443402046,-2261.739987514559
0.0,-1864119798.9857419,147052117590.02496,7409024.642612077,-36517.299989740444,11121.605934069847,-2187.799893447891
0.0,-2432122515.1323295,147231714241.96973,-27973105.50632073,-36274.39839780821,11128.933247088873,-2207.818684596058
0.0,-2137826043.024422,147146625532.2874,-11665858.321683915,-33953.19440387921,13146.25104236052,-2901.083416410633
0.0,-1863461698.7423337,147051918862.15237,7448074.604284295,-36517.06692039289,11121.519058829528,-2187.76104840222
0.0,-2065637598.2136543,147115993941.62766,-5160185.810793343,-36856.49610814306,11374.984949395503,-2251.7088187054137
0.0,-2529638606.343149,147260787460.2045,-33734224.33832014,-36305.63316929575,11075.372875856267,-2200.179043868949
0.0,-2412708300.2230396,147225944952.0761,-26832751.316189796,-36264.357726546754,11142.94642137415,-2210.024228216438
0.0,-2077546994.6886284,147120008220.5113,-5955949.3765928745,-36979.231112929294,11476.351053765677,-2277.7031971329297
0.0,-1917721393.8811378,147068846000.78787,4123675.84266489,-36541.48126182505,11132.960852266962,-2191.940030167417
0.0,-2472695736.184412,147243804444.26758,-30367439.181099996,-36291.38649373463,11104.731124108801,-2204.21535590186
0.0,-1765977396.2649324,147021637242.20978,13383451.072286133,-36492.01874514132,11116.861124075582,-2183.534976414882
0.0,-2519733018.2875853,147257832940.4507,-33146885.01297722,-36303.46854707544,11080.731047635696,-2200.899329737126
0.0,-2161529879.5673027,147152674068.04105,-12549820.704069722,-35323.045229096395,12142.008394657752,-2461.4813493746224
0.0,-2448540094.016136,147236613976.2076,-28944944.90893576,-36281.92329204931,11118.35509729223,-2206.206786443809
0.0,-2268960939.0919256,147183431090.5687,-18448542.389233008,-36111.41306401958,11337.968052388505,-2246.5134609715637
0.0,-2706710406.317919,147313601635.7085,-44226811.51163357,-36339.573312563836,11000.014453256303,-2191.4599090392544
0.0,-1879535004.1631048,147056924908.65292,6464526.359172282,-36523.15071510146,11123.93701082869,-2188.795597661831
0.0,-2309552268.6241803,147195369524.63937,-20796568.61981087,-36177.72835991331,11257.158735099887,-2230.3225343331633
0.0,-2768877900.7346807,147332138992.52808,-47917223.488045484,-36347.33980760609,10979.996674214943,-2189.6310991313026
0.0,-2036965747.7107923,147106596446.54446,-3301619.58677132,-36707.23752103308,11253.302495217433,-2222.0915825800803
0.0,-2216301613.7058406,147168110829.5156,-15457906.264930254,-35943.09573511539,11529.375703830818,-2289.1709754747735
0.0,-2145028487.1828287,147148356133.08044,-11855630.121666722,-34624.59985412013,12705.971414023852,-2677.1521819828877
0.0,-2521519826.0034714,147258368217.73398,-33254464.825331416,-36303.85145379677,11079.769626683039,-2200.767484398097
0.0,-1944303365.5000648,147077166866.81277,2491931.207477761,-36558.9364389409,11143.227997261867,-2194.9757917066613
0.0,-2365316576.11127,147211866962.1107,-24049817.276572317,-36233.40752104662,11185.200826577604,-2217.104255894759
0.0,-2250398425.2908077,147177999006.628,-17383758.36911477,-36067.49330009017,11389.498856855038,-2257.445055117019
0.0,-2198797131.6621623,147163076602.94702,-14486456.20650834,-35837.96094794695,11642.330065277049,-2316.851527568896
0.0,-2612375659.103538,147285469216.0269,-38635536.76981627,-36323.91050092401,11035.46367666852,-2195.2086091206097
0.0,-2188595812.6742454,147160184641.04224,-13935541.748285957,-35752.04881110147,11731.478634760728,-2339.9446218189046
0.0,-2281203358.0663457,147187018704.55383,-19152833.007569507,-36134.906240693526,11309.82333698113,-2240.7353556699723
0.0,-2267514404.899261,147183008904.38376,-18366922.570950165,-36108.37752376273,11341.570645473124,-2247.2560526275697
0.0,-2060242215.941136,147114212097.9473,-4806936.334965976,-36817.36544227302,11342.729976698469,-2243.7176609110197
0.0,-2169529260.2617025,147154864860.02548,-12942231.184128234,-35497.79431189855,11981.23109672725,-2410.814034255082
0.0,-2383190452.257558,147217177792.791,-25099361.25379701,-36246.34248792398,11167.740866905478,-2214.1075276782785
0.0,-2288571618.559009,147189192510.9705,-19579747.743804093,-36147.391307907346,11294.646252717483,-2237.680900466468
0.0,-2690472938.627633,147308761752.24646,-43265585.7491391,-36337.25224289296,11005.609703224878,-2192.0065688764867
0.0,-2378068020.2130814,147215658375.2764,-24798164.131637875,-36242.8103721927,11172.53480982532,-2214.9225605317956
0.0,-2330707107.322567,147201624661.93805,-22029152.384664983,-36202.2520047542,11226.028327854656,-2224.446606790159
0.0,-2017791297.9729033,147100430418.63486,-2087532.218546942,-36654.449702773665,11211.730876845519,-2212.1587924825944
0.0,-2413750538.6785197,147226249448.7947,-26891151.49177514,-36264.934203141456,11142.150029043009,-2209.8995674881985
0.0,-2277921390.980963,147186067947.55792,-18966702.59277797,-36128.932266788084,11316.99675918371,-2242.1914618712008
0.0,-2479571613.187142,147245851808.7783,-30771560.409321435,-36293.661234558545,11101.207855351906,-2203.718007896204
0.0,-2520036844.345708,147257922177.2796,-33164504.721221395,-36303.53509606307,11080.565969089415,-2200.8761259244993
0.0,-2539719163.476333,147263796519.9747,-34331389.7340407,-36307.91201451515,11069.958060908666,-2199.4635476064195
0.0,-2178856154.0523767,147157451260.5637,-13420806.077659735,-35642.507579306504,11841.53713660042,-2370.025511547214
0.0,-2483234549.7094326,147246941623.3669,-30987936.913729414,-36294.78621937444,11099.372649676376,-2203.4587684374524
0.0,-2278579727.606727,147186262214.15967,-19007390.646321915,-36130.13907047899,11315.544812890272,-2241.8844995447466
0.0,-2526587251.8913617,147259881391.8886,-33555127.486509636,-36304.954529968265,11077.028711254834,-2200.399439828095
0.0,-1894212887.7978399,147061497924.26984,5566985.876367151,-36529.46173624739,11126.78597487443,-2189.874848225831
0.0,-2327434361.8478975,147200653010.49802,-21835643.659118965,-36198.78603920616,11230.481654426681,-2225.279375199701
0.0,-2095434789.0675704,147126315447.80243,-7228169.190753653,-37402.678641975304,11820.470838369209,-2377.276677023428
0.0,-2195276245.7576065,147162081865.10355,-14297333.064670365,-35810.85811165178,11670.69075852659,-2324.0625938357903
0.0,-2106073496.8326373,147130432253.80264,-8101305.4225866785,-38261.38784093737,12455.060493430108,-2618.182401232342
0.0,-2359704495.918216,147210208354.39157,-23720926.777089264,-36228.950197722304,11191.136761784901,-2218.1472941159363
0.0,-2289211971.1666503,147189385160.83466,-19617994.025299758,-36148.41768406464,11293.383909568694,-2237.426853209273
0.0,-1932813958.986464,147073567637.4265,3197785.4734973833,-36550.78459581788,11138.27488482983,-2193.553483347653
0.0,-2307548938.925725,147194780669.4013,-20679650.73826452,-36175.11909665501,11260.41911018263,-2230.954198731333
0.0,-2420073099.433468,147228134786.64713,-27265228.894473683,-36268.31644880524,11137.432103849113,-2209.146764077036
0.0,-2155562009.162423,147151085369.11884,-12276171.437576795,-35142.32699219231,12299.22839561118,-2515.371419389038
0.0,-2563233335.704132,147270808050.12125,-35723563.39503335,-36313.35169840342,11057.862610067205,-2197.9081772006834
0.0,-2077955857.2987366,147120157639.0234,-5986053.777922137,-36984.83675175561,11480.877191176738,-2278.896274175141
0.0,-2220204038.321339,147169228917.36322,-15673882.499298004,-35961.62918170322,11509.046423739404,-2284.389843268383
0.0,-2042836765.0324485,147108501796.2181,-3677672.4800636326,-36728.68787601613,11270.510262072827,-2226.206705804783
0.0,-2165315204.489227,147153702238.36557,-12732260.440969424,-35413.361673869724,12060.038044308827,-2435.1182368750337
0.0,-2203394681.106899,147164394909.34137,-14741857.513420872,-35869.79496222995,11608.57638976659,-2308.3646307714102
0.0,-2407523001.4206004,147224404074.1485,-26527426.385740843,-36261.45239142978,11146.97938881487,-2210.674374374592
0.0,-2292530975.865285,147190352929.59036,-19807982.3878589,-36153.68341907373,11286.959044814941,-2236.1493271148433
0.0,-2252906422.071976,147178736571.24603,-17529256.510002945,-36074.11935202907,11381.793666693504,-2255.7759043227943
0.0,-2250969789.465352,147178168730.31656,-17417452.00223294,-36069.018472096206,11387.722832005447,-2257.057435141725
0.0,-2346375454.3911576,147206262200.1714,-22942572.308669712,-36217.5091057351,11206.228797797748,-2220.83293269584
0.0,-2456075201.666726,147238854962.61377,-29389140.873498935,-36285.09667631587,11113.868832089984,-2205.538845486488
0.0,-2482921177.677427,147246851890.46878,-30971009.83637652,-36294.689998466594,11099.530832595623,-2203.4798833346226
0.0,-2369525025.1035495,147213123626.06244,-24299145.46677631,-36236.60757481412,11180.90152219356,-2216.3546017940525
0.0,-2247946904.026364,147177282731.33917,-17243013.63366597,-36060.75230722083,11397.296622705857,-2259.140051598442
0.0,-2341118726.745942,147204702941.6485,-22637451.93826732,-36212.62948145712,11212.607012924715,-2221.981675087104
0.0,-2237836947.054989,147174345101.91986,-16671351.470561102,-36029.96448502849,11432.536658161516,-2266.8869182013136
0.0,-2450648683.3861465,147237240045.87854,-29067885.96301661,-36282.83120639779,11117.07477376127,-2206.0159796451994
0.0,-2148431465.870243,147149226416.23648,-11980238.86279747,-34831.33399604155,12550.861334599971,-2611.2610567336033
0.0,-2389577222.113344,147219074296.08566,-25472918.164513633,-36250.56367918076,11161.978745697079,-2213.1416829113086
0.0,-2144286734.5141864,147148185401.94928,-11834256.208013687,-34571.47237353018,12743.66036946777,-2694.105533876905
0.0,-2567892854.370784,147272193373.4905,-35997683.56935594,-36314.42050688822,11055.57449480087,-2197.621328276302
0.0,-2069366085.3020568,147117251159.6069,-5408322.217786001,-36888.644369678404,11401.431238807796,-2258.367420434665
0.0,-2296166768.818489,147191431655.50488,-20021189.784345917,-36159.187908207234,11280.176707918727,-2234.804936526353
0.0,-2500214395.1827817,147252009424.17706,-31993012.31126284,-36299.22873359638,11090.944144000356,-2202.2899857023604
0.0,-2152896533.0082455,147150385804.6919,-12162664.848656943,-35041.11504347623,12383.651145046291,-2546.0106362208326
0.0,-2020109840.6087987,147101164097.28314,-2231691.7292989856,-36659.73476055932,11215.840628924296,-2213.144071435289
0.0,-2139439968.9657307,147147011952.34586,-11700500.755506126,-34140.98000598634,13031.579146675756,-2836.5730753069734
0.0,-2211947522.2737,147166847974.65366,-15213282.088972632,-35920.69260269157,11553.846646074728,-2295.015622808092
0.0,-2139002661.807363,147146905409.65048,-11689156.010017056,-34092.952837941906,13061.569851597136,-2853.2118189835983
0.0,-2469689344.2649813,147242910531.54333,-30190749.861077443,-36290.32727714344,11106.31225952521,-2204.441458163127
0.0,-2227317591.5554442,147171286800.4022,-16074411.585513085,-35991.88668173562,11475.458353765125,-2276.5998763281896
0.0,-2154642888.970053,147150840803.75723,-12236939.407898733,-35109.200464226364,12327.212571284404,-2525.299472549309
0.0,-2426372449.77922,147230008788.0411,-27635847.27000261,-36271.55312245559,11132.9114209915,-2208.436925838787
0.0,-1785850227.120452,147027799276.9275,12176851.175459942,-36495.935937502254,11116.806944077607,-2184.1918274581135
0.0,-2098652633.0402055,147127509595.8856,-7474111.979771044,-37561.36534820379,11945.196449254461,-2418.256869515486
0.0,-2382522459.895366,147216977340.40686,-25059010.858236965,-36245.89195837705,11168.356128878926,-2214.212621573434
0.0,-2091807562.2259538,147125000795.49985,-6958559.4500079015,-37270.54518251916,11714.547633129505,-2344.6427966158362
0.0,-2375346262.3744645,147214843846.35107,-24638125.227513693,-36240.88516331612,11175.147794247852,-2215.366589981845
0.0,-2441261853.0033016,147234440857.42508,-28514573.69273506,-36278.69166691224,11122.907011669084,-2206.891912988879
0.0,-2391765338.161998,147219727439.81778,-25604470.629536204,-36251.96150738732,11160.061554720894,-2212.8180324535283
0.0,-2247186677.988575,147177063467.8933,-17200893.502626665,-36058.59827959466,11399.774533908116,-2259.6750041965092
0.0,-2671361702.063336,147303057623.5172,-42130007.576684564,-36334.3422858227,11012.427658261331,-2192.697450391605
0.0,-2655240576.4668307,147298246748.6498,-41173953.228851326,-36331.72083318083,11018.400563569909,-2193.322335670356
0.0,-2354672321.1865172,147208715474.16898,-23428013.466983818,-36224.78285207805,11196.664583561633,-2219.120527921963
0.0,-2292129474.414716,147190240355.12595,-19786367.604681637,-36153.04739990828,11287.726919108025,-2236.299723845204
0.0,-2365807078.1880193,147212019105.7106,-24080324.71825912,-36233.77933905339,11184.695074484292,-2217.0151275159405
0.0,-2341611194.404441,147204855880.9298,-22666971.86253684,-36213.08742437094,11211.998774328003,-2221.872804358452
