t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240932735.5773124,3,681,-2074391825.2332444,147134300111.5933,-10348859.224189669,-30266.4808293255,-522.8765630539543,-0.37774369715564027,-2082646585.3582082,147125288337.4157,-7090704.878879279,-36130.88838129422,13485.59285277813,-2832.6436593881704,0.9915021946534316
240932735.5773124,3,352,-2074391825.2332444,147134300111.5933,-10348859.224189669,-30266.4808293255,-522.8765630539543,-0.37774369715564027,-2078560448.7701917,147123510329.43033,-6723668.672629759,-36588.51439143669,13391.147776047117,-2799.3654096210907,0.9502643713689708
240932735.5773124,3,274,-2074391825.2332444,147134300111.5933,-10348859.224189669,-30266.4808293255,-522.8765630539543,-0.37774369715564027,-2080263850.4171252,147124262831.06717,-6879057.574743591,-36397.265431783024,13468.49081189488,-2824.7710343180697,0.9513255940624844
240932735.5773124,3,69,-2074391825.2332444,147134300111.5933,-10348859.224189669,-30266.4808293255,-522.8765630539543,-0.37774369715564027,-2080894884.0197482,147124532659.56808,-6934118.548901707,-36325.16366910918,13482.333684178808,-2829.7762456087185,0.9580399952694416
240932735.5773124,3,510,-2074391825.2332444,147134300111.5933,-10348859.224189669,-30266.4808293255,-522.8765630539543,-0.37774369715564027,-2078069725.31218,147123292551.01486,-6676651.438978456,-36640.35817029035,13359.593327753038,-2789.565592801867,0.954264313827513
240932735.5773124,3,89,-2074391825.2332444,147134300111.5933,-10348859.224189669,-30266.4808293255,-522.8765630539543,-0.37774369715564027,-2080723573.0223727,147124445705.18,-6916548.281206332,-36345.54107780141,13476.843264956206,-2827.765958788451,0.956845392318929
240932808.4386081,3,642,-2076597080.085852,147134261997.8943,-10348886.751483193,-30266.47652970124,-523.3222079772337,-0.3778644246485444,-2078109395.8782248,147123106694.9059,-6637747.886654135,-36855.81093590429,13323.918276716848,-2782.4264362244717,0.9292123986400411
240932808.4386081,3,680,-2076597080.085852,147134261997.8943,-10348886.751483193,-30266.47652970124,-523.3222079772337,-0.3778644246485444,-2085650346.346534,147126438343.89926,-7332467.6974053085,-35961.28256415609,13601.697888676305,-2877.0677473988453,0.9673492518389135
240932808.4386081,3,788,-2076597080.085852,147134261997.8943,-10348886.751483193,-30266.47652970124,-523.3222079772337,-0.3778644246485444,-2086111967.555253,147126629376.06778,-7371420.874168642,-35914.61580760522,13582.110815633765,-2871.3969359941802,0.9843067243056812
240932876.49921548,3,316,-2078657034.7244663,147134226366.10077,-10348912.473002573,-30266.472507456954,-523.738490499273,-0.377977177981413,-2077904566.680024,147122795407.20868,-6569736.646129102,-37057.561557008325,13190.927935867347,-2745.5652438044335,0.9456498108953008
240933006.9756243,3,993,-2082606094.8599055,147134157978.5207,-10348961.804206226,-30266.464780592418,-524.5365306652811,-0.37819328000487684,-2079667002.3299525,147123150832.13828,-6640954.681392402,-37258.51266941014,13109.216988088774,-2728.620228961034,0.9392257128614133
240933006.9756243,3,170,-2082606094.8599055,147134157978.5207,-10348961.804206226,-30266.464780592418,-524.5365306652811,-0.37819328000487684,-2079838186.6360407,147123226452.1327,-6656386.79602134,-37252.94123711112,13134.172073033886,-2736.4552789492177,0.9301849466723542
240933067.47847432,3,371,-2084437302.13049,147134126231.37088,-10348984.68900832,-30266.461190464986,-524.9065879619716,-0.37829346437213646,-2080654355.7455404,147123376095.80713,-6683072.1863568975,-37336.03494069929,13072.38077647941,-2721.499728151085,0.9384734782507981
240933194.77956143,3,325,-2088290255.062122,147134059360.63202,-10349032.859592265,-30266.45362191175,-525.6852080939827,-0.378504208356259,-2082649544.6112137,147123823273.25815,-6769800.15643096,-37478.86352830779,12951.77587381679,-2692.5817339008954,0.9582088743205526
240933255.9491511,3,668,-2090141641.4996638,147134027193.24066,-10349056.015635898,-30266.449978028875,-526.0593440620469,-0.37860544953324743,-2083578296.3028052,147124027824.94156,-6809459.034025522,-37532.77428635111,12877.657246973542,-2673.368432224951,0.9778495587197448
240933551.77575287,3,517,-2099095259.9302623,147133871303.26007,-10349168.089597493,-30266.432290466302,-527.8687326012025,-0.379094852423877,-2090081712.2591205,147125814101.6678,-7166939.358035004,-37780.021626829825,12738.58814392793,-2651.0940398215566,0.9800326219725494
240933863.2332856,3,562,-2108521965.3412032,147133706597.90405,-10349286.241735881,-30266.413551691407,-529.7737312252451,-0.3796097260358958,-2097781171.9235206,147128022246.88864,-7612856.667020135,-38025.956024396524,12606.812047860307,-2635.667205381238,0.9765003316138219
