t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240932732.04363614,3,786,-2074284873.293313,147134301959.2315,-10348857.889376141,-30266.481037685113,-522.8549498745946,-0.3777378414792213,-2082581888.2618914,147125269324.31067,-7087569.704386115,-36129.81628487253,13478.879157487536,-2830.1926882512125,0.9948937076015075
240932732.04363614,3,1579,-2074284873.293313,147134301959.2315,-10348857.889376141,-30266.481037685113,-522.8549498745946,-0.3777378414792213,-2078907990.4441156,147123668231.70596,-6756530.620378584,-36540.2641017339,13408.511404451283,-2804.7523768969522,0.9516065076782891
240932732.04363614,3,2411,-2074284873.293313,147134301959.2315,-10348857.889376141,-30266.481037685113,-522.8549498745946,-0.3777378414792213,-2075783322.1632977,147122306964.5664,-6470982.42649436,-36839.533819882374,13179.90593180463,-2734.1056852148427,0.9951969893407013
240932732.04363614,3,1485,-2074284873.293313,147134301959.2315,-10348857.889376141,-30266.481037685113,-522.8549498745946,-0.3777378414792213,-2081793122.3816814,147124923561.10608,-7016522.890793622,-36215.294493717105,13483.145069554668,-2830.573356086182,0.9773435111641227
240932732.04363614,3,3062,-2074284873.293313,147134301959.2315,-10348857.889376141,-30266.481037685113,-522.8549498745946,-0.3777378414792213,-2078804487.2658567,147123624540.3865,-6747659.956360914,-36551.54165152221,13403.388472221664,-2803.085049630691,0.9517634931346672
240932732.04363614,3,3216,-2074284873.293313,147134301959.2315,-10348857.889376141,-30266.481037685113,-522.8549498745946,-0.3777378414792213,-2077945471.0290508,147123255222.60745,-6670060.520512745,-36642.56293202791,13352.854556185426,-2787.1666548232965,0.9567901617763689
240932732.04363614,3,2604,-2074284873.293313,147134301959.2315,-10348857.889376141,-30266.481037685113,-522.8549498745946,-0.3777378414792213,-2076660424.4476748,147122687216.70975,-6551956.059917882,-36766.1330242806,13255.410857855195,-2756.9188515173505,0.9758626543282664
240932732.04363614,3,1207,-2074284873.293313,147134301959.2315,-10348857.889376141,-30266.481037685113,-522.8549498745946,-0.3777378414792213,-2075923615.8713512,147122365791.7986,-6484970.021117464,-36828.404299714486,13192.196261349922,-2737.6519603719535,0.9918693374907155
240932805.15086707,3,2961,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2076097115.7105255,147122222598.2459,-6451530.65284403,-36997.96907012553,13111.933298873433,-2717.397212993918,0.9926469627196763
240932805.15086707,3,2205,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2076323775.0428717,147122325024.0568,-6474114.53913433,-36984.090525429936,13137.351463998632,-2724.9849981307757,0.9840606271684701
240932805.15086707,3,1197,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2077636005.1532223,147122903743.1127,-6595999.440918924,-36887.437234431156,13278.453034990178,-2768.047664104185,0.9421145227727218
240932805.15086707,3,3752,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2086140826.7276921,147126646607.0359,-7375370.488685367,-35906.45349722436,13570.637266108099,-2867.4541660481345,0.9911483297596203
240932805.15086707,3,2927,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2085726724.1987936,147126472783.99597,-7338827.936055402,-35947.74786016466,13588.260786494047,-2872.6976686545195,0.9757820747705939
240932805.15086707,3,304,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2078147241.689519,147123133452.17474,-6644180.774751865,-36842.57551323434,13331.283103619106,-2784.435976801146,0.9286455700363427
240932805.15086707,3,1277,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2076612146.2468803,147122448170.73416,-6500169.143086788,-36964.98708723586,13168.32450351934,-2734.341999077082,0.9741954366905592
240932805.15086707,3,3141,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2076352013.9366868,147122344673.96075,-6478986.31468758,-36982.60819942783,13141.63664574243,-2726.2389653297964,0.982449508281325
240932805.15086707,3,1581,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2075930366.2768607,147122153389.9862,-6437578.411328453,-37007.98390781083,13094.215387254084,-2712.0208799399743,0.9986396237363525
240932805.15086707,3,3906,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2077512429.8695073,147122847333.32056,-6583062.760791713,-36897.62762640693,13265.141434914145,-2764.053920461254,0.9457473086635102
240932805.15086707,3,881,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2076890350.6969488,147122575746.4485,-6526353.514933926,-36945.68154553968,13199.3236637635,-2743.8574620701934,0.964501327334536
240932805.15086707,3,38,-2076497571.7547455,147134263718.40903,-10348885.50917185,-30266.476723855438,-523.3020990089584,-0.3778589774966503,-2086329256.541012,147126729745.35382,-7391946.1038077,-35887.94387550982,13562.464568967407,-2865.168046212304,0.9982893081939576
