t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240932727.8947063,3,892,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2079797112.5272102,147124067927.54004,-6838750.894606158,-36428.83674749897,13443.612823503336,-2816.1882298401792,0.9565385610447046,0.6615619923711946,0.851497854980328,2460636.91770954,271.36561296379256,134.36129612688777,3.4082274274223554
240932727.8947063,3,51,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2076431099.3713865,147122603255.86923,-6532531.326289862,-36774.90851700447,13239.797793324069,-2752.143902205397,0.9811190682410006,0.6615620893652844,0.8514979449104861,2460636.9177159127,271.3656120124833,134.3613110986534,3.4082273750635355
240932727.8947063,3,453,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078209352.6489182,147123387473.3973,-6698772.032327652,-36602.718433137066,13370.512802983256,-2792.4184751472953,0.9565829523710707,0.6615620196995053,0.851497945414056,2460636.9177064262,271.3655860668783,134.3613284869711,3.4082230336183046
240932727.8947063,3,203,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078592658.9621334,147123548983.66302,-6730626.344785765,-36562.01958251196,13391.371568452549,-2799.228207433686,0.9550398623042169,0.6615620147151307,0.8514979191414871,2460636.9177107452,271.36560621803665,134.36130949349354,3.4082263018958527
240932727.8947063,3,73,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2079585909.5283737,147123973830.21558,-6819170.756482728,-36452.70342793023,13435.695657956296,-2813.553694614829,0.9556909450337712,0.6615620002148518,0.8514978558915586,2460636.9177127783,271.36561572056394,134.36129616179824,3.408224387364813
240932727.8947063,3,126,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2080704782.4063034,147124470604.9675,-6921950.652628504,-36325.689993969405,13468.231153114888,-2824.7450156379614,0.9642161395143196,0.6615619133861208,0.8514979606177107,2460636.9177139704,271.3656063188117,134.36131618591,3.4082254921217503
240932727.8947063,3,762,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2076976332.8727589,147122835689.89185,-6581282.478050612,-36725.66126339845,13282.567517891739,-2765.224380070125,0.9717398975636725,0.6615620834934254,0.8514979057371967,2460636.9177175234,271.36561707188946,134.36130375147826,3.4082260216562132
240932727.8947063,3,650,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2077336129.295103,147122996110.4633,-6615974.595739111,-36691.37609994092,13310.23066629355,-2773.659526810954,0.966166730110487,0.6615620793854854,0.8514978819720659,2460636.917709363,271.36560454579853,134.36130704652106,3.4082254552394047
240932727.8947063,3,106,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078525185.351182,147123514919.17398,-6724053.236783177,-36569.394757711765,13386.859917824853,-2797.717522138014,0.9556438604419416,0.6615620270931691,0.8514978944347616,2460636.9177130274,271.36560765032254,134.36130802658795,3.4082255804311696
240932727.8947063,3,344,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2079487447.9740953,147123931087.42654,-6809473.7823424935,-36463.74771263161,13431.876013808484,-2812.391182883341,0.9553518021934677,0.6615619982515992,0.8514978703641807,2460636.9177147616,271.36562136241105,134.3612934761284,3.4082263199932656
240932727.8947063,3,457,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2079370684.5540857,147123884473.89792,-6801089.760355234,-36476.60839291612,13428.05345116293,-2810.9860328703567,0.9547019100054533,0.6615619950716183,0.8514978904025585,2460636.917711949,271.3656071345609,134.36130731139644,3.4082236052921617
240932727.8947063,3,79,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078078135.8006315,147123328221.75778,-6685453.174881846,-36616.500560014414,13362.00415274343,-2789.83832934624,0.9577031059257515,0.6615620127045029,0.8514979747663965,2460636.9177132645,271.3655952737653,134.36132802028197,3.408224740449305
240932727.8947063,3,75,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2081021158.9300632,147124596218.31406,-6946272.135888599,-36290.88000278709,13470.661955892574,-2825.957438649938,0.9693680965812705,0.6615619232013019,0.8514979031806739,2460636.917719821,271.3656305979189,134.3612916687313,3.4082255713593677
240932727.8947063,3,294,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2080807184.4938993,147124509960.09283,-6929575.675180949,-36314.471611881265,13468.976784643743,-2825.113266715559,0.9658921106524728,0.661561918119719,0.8514979379747495,2460636.917716481,271.36561557120893,134.3613075427375,3.408225324219304
240932727.8947063,3,619,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2076537756.7897081,147122652964.82495,-6544870.594999559,-36765.57282470003,13249.275133035078,-2754.853794149637,0.9787395801824383,0.6615620883793696,0.8514979377894802,2460636.9177108034,271.36559414333107,134.36132360902923,3.408225630240133
240932727.8947063,3,662,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2080437685.4275408,147124346985.7741,-6896495.012704112,-36356.36037862218,13461.613049444906,-2822.3662823493205,0.96165187654542,0.6615619688147221,0.8514978499074604,2460636.917707832,271.3656133857218,134.36129354153175,3.408226157548598
240932727.8947063,3,52,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078067753.6597443,147123320334.61517,-6684215.657829963,-36617.636716127345,13360.782138754315,-2789.3967422667797,0.9580271140263086,0.6615620388044425,0.8514979113569333,2460636.9177082074,271.36559585801206,134.3613171981645,3.4082240851908057
240932727.8947063,3,507,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078794129.4102755,147123633094.1233,-6748924.17207782,-36540.27667069804,13401.384975865318,-2802.3320533791566,0.9546946714654597,0.6615620172443782,0.8514978925213734,2460636.9177116714,271.3656052581945,134.36130926638296,3.408225224009909
240932727.8947063,3,451,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2080364650.657156,147124318527.1208,-6890333.226606615,-36364.44327790434,13460.50499152199,-2822.0031770216856,0.9606876433575838,0.661561949364844,0.8514979051833513,2460636.917711875,271.36561207116364,134.36130355547388,3.408225290830308
240932727.8947063,3,357,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2077250661.991311,147122957741.5911,-6608566.265008494,-36699.64608353954,13303.822859672176,-2771.606887872807,0.9674026443743222,0.6615620862903612,0.8514978730650944,2460636.917709746,271.36560137004335,134.3613095163533,3.408225118166282
240932727.8947063,3,41,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2082315914.9998283,147125149721.56454,-7061331.224526271,-36149.910735594756,13470.566621308757,-2827.1925372502888,0.9951296622710925,0.6615618879313847,0.8514978613953846,2460636.917714374,271.3656243583661,134.36128951550134,3.408225334981232
240932727.8947063,3,740,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2075799864.7401571,147122329533.30295,-6475963.068609394,-36827.52550798596,13185.919921860572,-2735.7082175824376,0.9949453867241355,0.6615621217084898,0.8514979263299198,2460636.917712679,271.36560634572555,134.36131163856882,3.4082255872353255
240932727.8947063,3,827,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2079349885.5315666,147123888452.92148,-6802710.817320272,-36478.390475231055,13429.633611006817,-2811.433960394921,0.9537012191265015,0.6615619718141688,0.8514979521537301,2460636.91770366,271.3655865281395,134.36132638425192,3.408225380190586
240932727.8947063,3,100,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2079369010.5243244,147123875152.33408,-6797657.378410421,-36477.16554167927,13426.2985206444,-2810.5741699858986,0.9553494568206211,0.6615620043803999,0.851497865992051,2460636.917719522,271.3656276632505,134.36129130192657,3.408225794980802
240932727.8947063,3,804,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2079501720.8435698,147123944014.4369,-6812830.804427721,-36461.85140730934,13433.70751632853,-2812.9237256631104,0.9549031157529978,0.6615619708532694,0.8514979372197575,2460636.9177157506,271.3656094151452,134.36131268449736,3.408222954212929
240932727.8947063,3,461,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2076893125.6986456,147122806522.41302,-6576393.012708463,-36733.40282286789,13277.437148291154,-2763.5438130130697,0.9725138460251147,0.6615620773214019,0.851497930386779,2460636.9177117543,271.3655999654503,134.36131783576917,3.408225257057259
240932727.8947063,3,300,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2080826903.8068113,147124516996.37482,-6932392.599031106,-36312.32025263093,13469.123775263502,-2825.0039303952212,0.9662277886325747,0.6615619327877728,0.8514978999026375,2460636.9177128305,271.3656071325676,134.3613092853278,3.408224680545989
240932727.8947063,3,181,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2080874122.4711752,147124538845.80423,-6936830.333350919,-36306.91548198296,13470.054134617176,-2825.358230853028,0.9667822040305345,0.6615619305700136,0.8514979009639948,2460636.9177113436,271.3656061282248,134.36130881639687,3.4082238769747986
240932727.8947063,3,667,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078671892.2986517,147123576712.69504,-6735513.5231459215,-36553.65905684029,13394.316835916054,-2800.252310468609,0.9552900925620562,0.6615620098736151,0.8514979216896367,2460636.9177200636,271.3656209090054,134.36130357654727,3.408225626398961
240932727.8947063,3,153,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2081035633.512803,147124614225.64774,-6952693.736443497,-36288.39826222406,13473.087963090751,-2826.4648528381026,0.9687526179797126,0.6615619043825897,0.8514979502006093,2460636.9177109753,271.3655981606879,134.36132127455343,3.40822238459951
240932727.8947063,3,734,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2077507461.71943,147123077091.1851,-6634183.8344272,-36674.526414072345,13323.710391103685,-2777.725210640471,0.9634833436605831,0.6615620671257634,0.8514978967235141,2460636.917703604,271.3655881434434,134.36131954793788,3.408223410000805
240932727.8947063,3,396,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078616573.1911497,147123557416.67282,-6732846.2564954385,-36559.49017395762,13392.340176721602,-2799.478711369921,0.9550888547592096,0.6615620072158386,0.8514979346105976,2460636.9177155574,271.3656055000316,134.36131620568955,3.408224756075622
240932727.8947063,3,640,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2080731482.6647377,147124469065.32425,-6921301.584416568,-36323.516227830696,13466.349923426815,-2824.1514436589223,0.9654421842738142,0.6615619578819119,0.8514978466318318,2460636.917713878,271.3656227298525,134.36128937213448,3.4082266259566616
240932727.8947063,3,26,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2077244053.0486898,147122956749.29913,-6608616.756073937,-36700.2749512774,13303.687373088595,-2771.544308606371,0.9673433214259802,0.6615620872829292,0.851497871723147,2460636.9177071233,271.3655971821705,134.36131111047206,3.408225744931652
240932727.8947063,3,598,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2076602496.913002,147122673925.77527,-6547324.133752592,-36759.76981625893,13253.17725029693,-2756.2183599992704,0.9781287469856136,0.6615620958104463,0.8514979117623066,2460636.9177174056,271.36561656182727,134.3613039891031,3.408226403974495
240932727.8947063,3,634,-2074159299.7801886,147134304128.46747,-10348856.322182529,-30266.481282302902,-522.8295735911267,-0.37773096619633495,-2078734026.3716412,147123610705.0522,-6744334.235896915,-36546.70335643836,13398.984593585903,-2801.5636029547313,0.9545590845114997,0.6615620119153476,0.8514979122052264,2460636.9177096672,271.3656003005872,134.36131404656243,3.4082246524872803
