t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240932733.68319273,3,1724,-2074334496.8977652,147134301101.97305,-10348858.508700892,-30266.48094101225,-522.8649779662103,-0.3777405584047031,-2077213024.7453966,147122925512.09225,-6600881.233215466,-36719.90544635886,13298.838661672544,-2770.45663564518,0.9656557676799927,0.6615620944077286,0.851497877332646,2460636.9177105217,271.3656076353786,134.36130398052032,3.40822645331818
240932733.68319273,3,1871,-2074334496.8977652,147134301101.97305,-10348858.508700892,-30266.48094101225,-522.8649779662103,-0.3777405584047031,-2081097283.6287746,147124615300.7845,-6950444.295499042,-36297.64562372173,13480.758667473227,-2829.439107515165,0.9636233445593297,0.6615619372361512,0.8514978818924219,2460636.917718322,271.36563164745735,134.36128708485705,3.4082269144889272
240932733.68319273,3,813,-2074334496.8977652,147134301101.97305,-10348858.508700892,-30266.48094101225,-522.8649779662103,-0.3777405584047031,-2081178355.7731009,147124656504.3644,-6961051.450188376,-36288.00515810455,13482.986165984445,-2829.9962948235725,0.9643713035752032,0.661561925655871,0.851497903475303,2460636.9177131597,271.3656098078933,134.36130681508916,3.4082243150836082
240932733.68319273,3,2166,-2074334496.8977652,147134301101.97305,-10348858.508700892,-30266.48094101225,-522.8649779662103,-0.3777405584047031,-2078820135.6567774,147123634087.7929,-6747946.603342086,-36554.54919500666,13406.045613261706,-2804.2249302923988,0.950050562944828,0.6615620023537898,0.8514979478807388,2460636.91771417,271.36560914515445,134.36131228897636,3.408225922482797
240932733.68319273,3,1960,-2074334496.8977652,147134301101.97305,-10348858.508700892,-30266.48094101225,-522.8649779662103,-0.3777405584047031,-2079951934.0178833,147124122236.30432,-6849508.875023134,-36427.95689944461,13454.841829283965,-2820.150974040566,0.9517878474122943,0.6615619704877889,0.8514979139463641,2460636.9177173134,271.36561732200346,134.36130403186326,3.408225181889494
240932806.73309895,3,855,-2076545460.3352418,147134262890.41617,-10348886.107034396,-30266.476630420013,-523.3117764894873,-0.3778615989547671,-2077136366.0965242,147122677864.61627,-6548890.781610168,-36931.61042971514,13223.36425362321,-2751.1736529722666,0.9569123219087247,0.6615621975520682,0.8514978889077346,2460636.917715967,271.36560111457027,134.3613167712026,3.4082235676157397
240932806.73309895,3,1337,-2076545460.3352418,147134262890.41617,-10348886.107034396,-30266.476630420013,-523.3117764894873,-0.3778615989547671,-2077505534.20496,147122839356.1413,-6580015.457498277,-36902.589179018054,13262.243717695119,-2763.393705844227,0.9460008793765579,0.6615621774938917,0.8514979026741429,2460636.917719696,271.36562254840203,134.36129927832854,3.4082275032418288
240932806.73309895,3,2957,-2076545460.3352418,147134262890.41617,-10348886.107034396,-30266.476630420013,-523.3117764894873,-0.3778615989547671,-2076365858.362597,147122338046.3287,-6475948.696826072,-36985.160197590085,13139.203131487826,-2725.711569352567,0.9829900606235222,0.6615622190725534,0.8514979086522102,2460636.9177225004,271.3656153014011,134.3613101094516,3.4082260638366164
240932806.73309895,3,1778,-2076545460.3352418,147134262890.41617,-10348886.107034396,-30266.476630420013,-523.3117764894873,-0.3778615989547671,-2085759595.3250902,147126481431.56436,-7340707.574624881,-35947.50003820723,13591.327232501064,-2873.800970043368,0.9744086678573654,0.6615618268438013,0.8514979526979921,2460636.9177152705,271.36561202219474,134.36131127285972,3.4082235143308486
240932874.73212177,3,1862,-2078603551.033774,147134227291.58615,-10348911.8050841,-30266.472611960846,-523.7276823321887,-0.37797425074704355,-2077229587.346608,147122502127.93286,-6508645.530857731,-37091.26402147175,13110.798803336847,-2720.876036437299,0.9731918262325181,0.661562311773682,0.8514978364914764,2460636.917720591,271.3656168361575,134.36129989792283,3.4082262092232054
240932874.73212177,3,2203,-2078603551.033774,147134227291.58615,-10348911.8050841,-30266.472611960846,-523.7276823321887,-0.37797425074704355,-2077481343.1341217,147122617240.14487,-6532376.356822364,-37078.17178630889,13142.50080050876,-2730.612768908787,0.9620894373459169,0.6615622880114537,0.851497872106909,2460636.917718685,271.365614697117,134.3613038588862,3.408227047539887
240932939.848508,3,1417,-2080574394.2285047,147134193175.365,-10348936.420913164,-30266.46875850885,-524.1259572049822,-0.3780821091962663,-2078198266.0767367,147122714147.81616,-6549316.80334094,-37181.869350307185,13083.294322731892,-2716.475963253541,0.9660180222543701,0.6615623873296982,0.8514977858051624,2460636.917722841,271.36563285715533,134.36128115255187,3.408227386485622
240933141.33451903,3,752,-2086672663.083762,147134087447.16486,-10349012.632782908,-30266.456801864864,-525.3583185047821,-0.3784157394317684,-2081139131.1781235,147123348571.06445,-6672775.504388551,-37421.72986889938,12908.371246397108,-2675.19773504519,0.9899186987790994,0.6615625398219195,0.8514978369816469,2460636.917720903,271.3656158854867,134.36130068542684,3.4082287866155747
240933141.33451903,3,1898,-2086672663.083762,147134087447.16486,-10349012.632782908,-30266.456801864864,-525.3583185047821,-0.3784157394317684,-2081886215.3227882,147123676538.14752,-6743420.394582734,-37424.347867969474,13019.754481338396,-2710.165971662639,0.9416844955555843,0.6615625038759602,0.8514978570862434,2460636.91771993,271.36560713946585,134.36131035604927,3.4082265019513893
240933339.68210578,3,1295,-2092675940.5786893,147133983123.29578,-10349087.72319014,-30266.44498256093,-526.5714863085656,-0.3787440102113326,-2085838269.3755176,147124714060.58344,-6950131.0532026375,-37625.772803888714,12914.980255436638,-2691.870979697777,0.9414389991516128,0.6615626490340955,0.8514978175457173,2460636.917726752,271.36561696514156,134.36130308323823,3.4082271157711963
240933466.5066382,3,2660,-2096514467.8311975,147133916291.9239,-10349135.770527592,-30266.43739980372,-527.3471936063326,-0.37895382370275293,-2088681819.8318872,147125509533.92847,-7110880.30088882,-37746.30431339288,12863.83065428083,-2685.8896783046175,0.9358348555588071,0.6615627254794036,0.8514978048553481,2460636.9177223225,271.3656064052323,134.3613084711586,3.408225904068939
240933598.8195157,3,2870,-2100519106.7307532,147133846463.56036,-10349185.925475776,-30266.429467759066,-528.1564706875677,-0.3791726464980249,-2091249004.3959885,147126151103.77438,-7236377.476010271,-37821.5683015659,12726.019524547524,-2650.916173789578,0.9754878388635411,0.6615628424868571,0.8514977336711421,2460636.9177202256,271.3656103858792,134.36129604211712,3.4082287612741786
