t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240932741.37587255,3,103,-2074567327.2379427,147134297079.55933,-10348861.414587028,-30266.48048738594,-522.9120290446251,-0.3777533058742614,-2078588579.390953,147123505792.31754,-6722375.443583347,-36602.997146394235,13393.74781788913,-2800.5006893078016,0.9464895501699254,0.6615620484988809,0.8514978835611526,2460636.9177127425,271.3656079975968,134.36130693829716,3.408224550535803
240932741.37587255,3,47,-2074567327.2379427,147134297079.55933,-10348861.414587028,-30266.48048738594,-522.9120290446251,-0.3777533058742614,-2081381532.784997,147124723624.82468,-6973187.8062532395,-36285.60612444342,13497.218557470589,-2835.244269735161,0.958444858025838,0.6615619366055303,0.8514978835008199,2460636.9177151504,271.36562885707787,134.36128745948142,3.4082273585398184
240932741.37587255,3,408,-2074567327.2379427,147134297079.55933,-10348861.414587028,-30266.48048738594,-522.9120290446251,-0.3777533058742614,-2080230613.7888422,147124228208.36877,-6872676.799313195,-36418.20452470794,13472.897459376094,-2826.2679046011353,0.9457266274868971,0.6615619760957949,0.8514979010894915,2460636.917711479,271.365606798529,134.3613081344405,3.4082249824088198
240932741.37587255,3,469,-2074567327.2379427,147134297079.55933,-10348861.414587028,-30266.48048738594,-522.9120290446251,-0.3777533058742614,-2077725749.103118,147123134278.27292,-6645151.010117479,-36692.428036144236,13336.083737746776,-2782.3551674142745,0.9546595915212664,0.6615620607517325,0.8514979384959618,2460636.917711859,271.36559680959533,134.3613221205063,3.4082238059932632
240932741.37587255,3,244,-2074567327.2379427,147134297079.55933,-10348861.414587028,-30266.48048738594,-522.9120290446251,-0.3777533058742614,-2077838773.6359768,147123178023.07166,-6653240.8336756155,-36681.1497465481,13343.27508775686,-2784.6952462105455,0.9536682416837514,0.6615620605708648,0.8514979267102747,2460636.917718434,271.36561126507564,134.3613119100108,3.4082254571338857
240932886.14982623,3,264,-2078949124.6632557,147134221311.41965,-10348916.120790286,-30266.47193666295,-523.7975170365813,-0.3779931642311277,-2077955585.67993,147122784961.3845,-6567781.562484464,-37077.67453924326,13177.06726597063,-2741.8311252352887,0.9474644412152542,0.6615623069556548,0.8514978198823269,2460636.9177180906,271.3656172053652,134.36129575533377,3.408225104027421
240932886.14982623,3,255,-2078949124.6632557,147134221311.41965,-10348916.120790286,-30266.47193666295,-523.7975170365813,-0.3779931642311277,-2077481988.5394306,147122588841.54462,-6528254.900048395,-37104.118215282164,13119.496095816501,-2724.0766230698296,0.9666957040803147,0.6615623042981258,0.8514978735625632,2460636.917709444,271.365589181898,134.36132124934136,3.4082241806511306
240933015.8943604,3,320,-2082876033.4669003,147134153300.07452,-10348965.17727811,-30266.46425165476,-524.5910808649802,-0.3782080491440841,-2079128513.0860627,147122888985.52634,-6582898.86798787,-37287.10162873488,13007.569876299065,-2697.950351883828,0.9763348352206666,0.6615624233211027,0.8514978771419207,2460636.9177190657,271.36561194291085,134.36130670528544,3.4082267553034216
240933015.8943604,3,300,-2082876033.4669003,147134153300.07452,-10348965.17727811,-30266.46425165476,-524.5910808649802,-0.3782080491440841,-2080069451.011198,147123299620.2943,-6670821.287577762,-37262.363258628946,13142.61555585131,-2739.785688998062,0.9249287458238277,0.6615623901161898,0.8514978705694282,2460636.917720984,271.36561005830316,134.36131011078055,3.4082263127979497
240933578.98522535,3,82,-2099918793.562373,147133856937.96616,-10349178.405180587,-30266.430658183635,-528.0351563800357,-0.3791398485661839,-2091363471.5939293,147126267971.26526,-7263826.074510991,-37852.0628748982,12823.886203145368,-2683.1083763611136,0.928567062020373,0.6615628139505781,0.8514977266782529,2460636.9177205665,271.36561309544214,134.36129289774698,3.408227767801879
240933973.3954366,3,263,-2111856178.1931455,147133648199.7768,-10349328.070385845,-30266.40689516767,-530.4475282338393,-0.37979174077087646,-2101133147.6331627,147129054553.15695,-7823648.002007084,-38176.63695426961,12618.656476636554,-2655.4303605744226,0.9356830857439923,0.6615629759644279,0.8514977863394897,2460636.917729087,271.36562081626,134.3612979196159,3.4082298728622535
240934123.31711555,3,211,-2116393768.0497792,147133568605.45493,-10349385.027964752,-30266.397812137653,-531.3645119613794,-0.3800393677856605,-2104983147.1219237,147130152724.65543,-8045880.6142177405,-38274.31163673269,12520.94060974358,-2638.4488894914375,0.9510330484482475,0.6615630548083079,0.8514977544682956,2460636.9177232506,271.3656100361203,134.36130080803792,3.408229033788102
