t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240932978.6266659,3,477,-2081748072.0880604,147134172846.12714,-10348951.083486147,-30266.466461214128,-524.3631382621096,-0.3781463328773677,-2078998358.9390259,147122950923.29666,-6599182.812110595,-37227.702869058114,13093.076728406266,-2721.8262307730697,0.9522490122080796,0.6615623876132865,0.8514978474134968,2460636.9177167993,271.3656067950495,134.36130755418205,3.4082263964546664
240933800.31585118,3,436,-2106617680.1348517,147133739917.80176,-10349262.36093678,-30266.417346748185,-529.3889026352246,-0.3795057487127364,-2096704457.5364153,147127776879.2484,-7566950.919824241,-38035.95675906932,12708.739809583845,-2666.581202196604,0.9327460424966544,0.6615629224766182,0.8514977287501911,2460636.9177266494,271.36561870845225,134.3612929973827,3.4082284742842908
240932689.9340816,3,83,-2073010365.2025294,147134323970.9978,-10348841.98447311,-30266.48351944709,-522.5973933970412,-0.3776680575374138,-2078143770.6376204,147123451304.2837,-6711070.241309322,-36500.67423493047,13350.971454693135,-2784.728699770107,0.9847586857095739,0.6615619625666784,0.8514979556484751,2460636.917713563,271.3655961058757,134.36132555146057,3.4082223340803566
240932840.03287187,3,229,-2077553327.1003706,147134245460.86172,-10348898.690658394,-30266.47466325452,-523.5154495322142,-0.37791676798548135,-2077043973.1250865,147122531850.07498,-6517256.241207263,-37022.339941997,13157.818965946275,-2733.076275076624,0.9669668209102705,0.6615622782421279,0.8514978160262442,2460636.9177114195,271.3656047161447,134.36130236006977,3.408224130020035
240933439.1821714,3,251,-2095687453.5427415,147133930699.12146,-10349125.416433902,-30266.439035192514,-527.1800666499587,-0.37890862476666026,-2087400503.8647296,147125049033.82547,-7014101.670091587,-37683.81778906729,12774.481419233436,-2653.570640630583,0.9875000254710771,0.6615627443614693,0.8514977806403486,2460636.917721806,271.3656094844226,134.36130288814684,3.408227640859864
240933653.4891558,3,87,-2102173761.4443498,147133817580.29602,-10349206.6571788,-30266.426184057047,-528.4908517826105,-0.37926303970845543,-2092625166.3977473,147126551757.4776,-7316312.4983247155,-37870.3892648186,12711.01788045069,-2651.03989589383,0.9701921698566369,0.6615628420080597,0.8514977959042367,2460636.9177287845,271.3656173165808,134.36130266983125,3.408227920942052
240933978.44926116,3,696,-2112009139.305586,147133645518.90994,-10349329.989807807,-30266.40658943235,-530.4784395196924,-0.3798000897246825,-2100543587.4671915,147128789681.7499,-7765154.286222588,-38083.38269116364,12525.619844407038,-2618.471343715038,0.9969024260137681,0.661563002985667,0.8514977872187137,2460636.917730807,271.3656156005223,134.36130512635535,3.408228974784274
240932677.83755717,3,588,-2072644245.9383488,147134330292.1625,-10348837.416123442,-30266.484231961625,-522.523406923288,-0.37764800983666774,-2078102325.2096834,147123456654.1093,-6709955.892501138,-36472.17188281973,13339.78900577495,-2780.9750776635456,0.9955209079182723,0.6615619638518935,0.8514979124651266,2460636.91771465,271.36561722357175,134.36130140536974,3.408226148717363
240932765.36999068,3,217,-2075293544.731274,147134284530.98563,-10348870.47892149,-30266.47907201833,-523.0587853576789,-0.3777930647512696,-2083523005.2501726,147125596958.2623,-7155075.696483994,-36103.23182851959,13540.532039856764,-2852.4915487132066,0.9709265681524539,0.661561876396406,0.8514979048359104,2460636.917716399,271.3656248434413,134.36129456272272,3.408225522731014
240932765.36999068,3,47,-2075293544.731274,147134284530.98563,-10348870.47892149,-30266.47907201833,-523.0587853576789,-0.3777930647512696,-2082654559.8236232,147125229734.27304,-7081541.167042977,-36200.77058717752,13549.974360708109,-2854.144938333643,0.9499749246483307,0.6615619113090199,0.8514979068801731,2460636.917709253,271.3656027119826,134.36131079135848,3.4082234819128985
