t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d,e,q,tp,node,peri,i
240932702.70064485,3,38,-2073396764.1703115,147134317298.72678,-10348846.806131259,-30266.482767269947,-522.6754780647099,-0.3776892150498731,-2080688229.6704087,147124515697.04364,-6931249.673936211,-36262.9698583473,13427.615500847207,-2810.90095575589,0.9944361457900185,0.661561898462883,0.8514979083773521,2460636.9177082856,271.36560138322983,134.36131188866483,3.408224242070745
240932798.30018586,3,597,-2076290225.7616792,147134267303.2415,-10348882.920619227,-30266.477128372655,-523.2601978564289,-0.3778476270975041,-2085520496.5657644,147126392890.66232,-7321955.609986567,-35957.05106907172,13575.142531789348,-2867.774914971896,0.9802753995313611,0.6615618401986002,0.8514979135370881,2460636.9177110726,271.36561167982273,134.36130394462808,3.4082254273382993
240933549.88488415,3,876,-2099038030.079383,147133872301.37958,-10349167.372781843,-30266.43240386464,-527.857167309731,-0.3790917253925107,-2090060366.9784248,147125816283.50656,-7169267.807956944,-37780.87932798865,12743.098492522658,-2652.3452611256816,0.9778998553354218,0.66156278987896,0.8514978051883324,2460636.917721206,271.36560076471227,134.36131327658663,3.408227450591904
240933853.19569144,3,787,-2108218163.3608527,147133711915.24963,-10349282.43145074,-30266.414157466803,-529.712337206109,-0.3795931390030517,-2097824457.1615255,147128077376.85867,-7626871.1399862785,-38054.2428392677,12651.909448672424,-2651.642158119727,0.951071917274095,0.6615629231746405,0.8514978066199888,2460636.9177251034,271.36559990425803,134.36131771331446,3.40822804188513
240932848.02392188,3,373,-2077795188.0077553,147134241277.22836,-10348901.710663043,-30266.47419098426,-523.5643255940365,-0.3779300063926435,-2077807338.920186,147122837826.40054,-6578619.782727353,-36991.35395808771,13231.851084611533,-2756.4822296848256,0.9415424142614269,0.661562255815953,0.8514978255014248,2460636.917720031,271.3656312681545,134.361283950176,3.4082271145427736
240932980.30314535,3,483,-2081798813.1933458,147134171967.0346,-10348951.717442984,-30266.466361854356,-524.3733922100914,-0.3781491092929143,-2079374697.6983829,147123107337.0362,-6630916.004383459,-37216.93191199653,13140.994574065793,-2736.898182548473,0.9345728833793122,0.6615623771552588,0.8514978428970861,2460636.9177213185,271.36562136577675,134.36129660321882,3.408228070613143
240933268.26041165,3,799,-2090514259.6454892,147134020716.32352,-10349060.676871635,-30266.44924408716,-526.1346443371757,-0.3786258239211951,-2083797292.1267474,147124078892.18958,-6819786.758088101,-37542.76760346685,12866.481624549866,-2670.6356956061327,0.9804218740054482,0.6615626159005905,0.8514978421221481,2460636.9177203635,271.36560890747444,134.36130781872765,3.4082275426125004
240933559.190863,3,29,-2099319688.8572881,147133867388.88715,-10349170.90067304,-30266.431845728053,-527.9140863117428,-0.3791071150487229,-2090100669.8501763,147125804183.825,-7165357.972003787,-37775.4736728966,12713.62854674083,-2643.1435340106786,0.9920398698771928,0.6615627969066223,0.8514978161542912,2460636.9177195732,271.3656003177583,134.361313525649,3.4082281940234296
240933559.190863,3,453,-2099319688.8572881,147133867388.88715,-10349170.90067304,-30266.431845728053,-527.9140863117428,-0.3791071150487229,-2090488980.5252864,147125972169.29282,-7202732.461219398,-37804.64110925519,12770.335120178768,-2662.5142732603354,0.9608027206083685,0.6615627744418787,0.8514978371164518,2460636.9177194783,271.36559023688267,134.36132539104054,3.408226252598562
240933967.49217218,3,579,-2111677507.5895872,147133651331.0423,-10349325.82840357,-30266.407252250665,-530.4114214242535,-0.3797819884037048,-2100627710.7088041,147128862885.17603,-7784852.0248722285,-38123.841851246616,12576.266800913634,-2637.0642828536784,0.965230716455758,0.661562989362298,0.8514977777182813,2460636.9177269596,271.36559952657376,134.36131700357092,3.408226537330352
240932679.47233957,3,112,-2072693725.0570583,147134329437.9422,-10348838.033498012,-30266.48413567953,-522.5334058107035,-0.3776507192144075,-2077064632.3581676,147123006087.01987,-6617805.743564382,-36581.25623089534,13293.70336290629,-2766.330238654537,0.9954456432059106,0.6615620082699248,0.8514979107711063,2460636.917712534,271.3656059407057,134.36131086371338,3.408224742048853
240932829.58307412,3,259,-2077237048.5580816,147134250931.15833,-10348894.741595052,-30266.47528071772,-523.451534912213,-0.3778994558880257,-2077246660.094927,147122648817.41647,-6539791.264457438,-36982.93202240477,13198.609493987426,-2745.1378112046564,0.9572861721781691,0.6615622450961054,0.8514978405056939,2460636.917720217,271.36562716985986,134.361289930325,3.4082274429934136
240933033.36330256,3,891,-2083404756.5763195,147134144135.08997,-10348971.784425376,-30266.46321535138,-524.6979272171575,-0.3782369762038116,-2080307942.4408865,147123342412.656,-6678533.4146792935,-37287.26444196869,13125.880534824304,-2735.8081755662574,0.9266930001474024,0.6615624249680507,0.8514978228474979,2460636.917719473,271.36561751325894,134.3612970688851,3.4082279005162675
240933093.29529056,3,356,-2085218685.7796676,147134112677.91562,-10348994.45589297,-30266.459657168652,-525.0644930038592,-0.3783362088849433,-2080836697.3173926,147123381357.82602,-6683162.680737279,-37371.329851496004,13019.339031558953,-2706.681556077579,0.9530493730551052,0.6615624612702476,0.8514978933831969,2460636.917720425,271.36560771921233,134.3613139475669,3.4082268396763293
240933296.3828044,3,465,-2091365424.5971513,147134005917.73972,-10349071.325390184,-30266.447566856063,-526.3066514449412,-0.3786723624386752,-2084586661.577677,147124327457.54807,-6871352.964896886,-37574.64429052789,12883.984028505787,-2678.308720861167,0.9655967187582387,0.6615626270566131,0.851497839445669,2460636.917717287,271.36560176347666,134.36131208918883,3.40822699749369
240934011.046957,3,287,-2112995754.3903341,147133628223.28543,-10349342.371293308,-30266.404616650794,-530.6778205706155,-0.37985393882394664,-2102243244.874627,147129392472.00653,-7895066.549912677,-38225.10850183209,12614.49188100664,-2659.4870146579055,0.9261687469558887,0.6615629950714572,0.8514977681293883,2460636.91772414,271.36560459493296,134.36130861148538,3.4082292370209544
240932765.66092396,3,893,-2075302350.2536163,147134284378.81024,-10348870.588834085,-30266.47905485238,-523.0605648055456,-0.3777935468205784,-2075805530.8259268,147122212730.68405,-6451577.143982984,-36922.65352005283,13141.65627090267,-2724.1691251224606,0.9952081391091334,0.6615622067755728,0.8514978476906088,2460636.9177170102,271.3656131198113,134.3613014031336,3.408225904167927
240932765.66092396,3,133,-2075302350.2536163,147134284378.81024,-10348870.588834085,-30266.47905485238,-523.0605648055456,-0.3777935468205784,-2075770334.173236,147122198849.42365,-6448439.966280691,-36925.12347568978,13138.334780659492,-2723.1946092068965,0.9962129658633531,0.6615622112809142,0.8514978403806583,2460636.9177139555,271.36561293899166,134.36129816681034,3.4082259018302645
