#jd0_246080050-Nast_20000-obj_2024_YR4-orbit_57
date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact
2032-12-22 13:57:06.996,2463589.0813309764,-102.85007510123593,8.000041186520924,0.4108115447154457,-6028439.406469172,-1364476.307291767,1573770.733028812,-4007.549101108052,16385.621531064462,-4010.9177129326044,-1404878.588311269,-6158677.061680711,881841.5916713094,-4007.549101108052,16385.621531064462,-4010.9177129326044,-4456.646967760706,16488.066905387175,-4010.9177129326044,17544.38694773035,27.97998524019543
2032-12-22 13:57:04.800,2463589.081305553,-102.33282200117235,7.934704092849035,0.4041703926297717,-6012520.655332866,-1416624.4538340801,1588521.9912748893,-4037.3290708123304,16379.70928831714,-4005.1988034692217,-1349435.5152027037,-6172080.956953001,874683.966868456,-4037.3290708123304,16379.70928831714,-4005.1988034692217,-4487.404365037713,16478.11168951359,-4005.1988034692217,17541.56721170475,27.598484470318475
2032-12-22 13:56:35.003,2463589.0809606877,-97.33157442809173,7.1135980196611435,0.325247254493311,-5837723.503894798,-1919612.3777822433,1707836.116818132,-4314.663120009729,16324.965611628359,-3939.0288614456126,-807739.2636633839,-6277939.583435281,784642.2493353164,-4314.663120009729,16324.965611628359,-3939.0288614456126,-4772.457747923798,16383.86689456457,-3939.0288614456126,17513.52036986934,23.94140908559104
2032-12-22 13:56:18.438,2463589.080768959,-94.19173768302626,6.619433216627466,0.2818179879925173,-5704627.40628231,-2227770.641051792,1781823.7054011424,-4482.500902400882,16288.73602686786,-3901.4522563041237,-463139.1668899562,-6319231.232197569,730376.8457996766,-4482.500902400882,16288.73602686786,-3901.4522563041237,-4943.306565182342,16322.508671500862,-3901.4522563041237,17495.19645036363,21.662606593028805
2032-12-22 13:56:16.850,2463589.0807505837,-93.86711378399328,6.564581096080753,0.2771866179740561,-5689902.97795692,-2259486.770820001,1788953.6675653136,-4499.58214679338,16284.994069206772,-3897.4148469934967,-427375.360421755,-6322444.052842209,724350.1161410555,-4499.58214679338,16284.994069206772,-3897.4148469934967,-4960.622092178553,16316.158775636912,-3897.4148469934967,17493.274456852516,21.42959439530148
2032-12-22 13:56:09.999,2463589.0806712853,-92.6259347735639,6.36916574627574,0.2609949459822482,-5631919.548880812,-2379065.06453441,1817185.5173358165,-4564.260670548892,16270.419096859403,-3883.058367667721,-290435.6214918761,-6332633.461147991,702874.2329083099,-4564.260670548892,16270.419096859403,-3883.058367667721,-5026.043639392959,16291.59799887125,-3883.058367667721,17485.863499084695,20.538369419746694
2032-12-22 13:56:06.472,2463589.0806304687,-91.91379790118695,6.273438267627217,0.2532388515834158,-5597192.9781291075,-2446515.14807471,1834836.773828179,-4601.148991089883,16261.722173481307,-3875.955834532754,-211744.74014683603,-6336911.37739112,692351.0315440625,-4601.148991089883,16261.722173481307,-3875.955834532754,-5063.243910542703,16277.162845255856,-3875.955834532754,17481.5760965616,20.0259402137553
2032-12-22 13:56:03.692,2463589.0805982854,-91.43054019219376,6.168320474095622,0.24485513530173317,-5573656.028746492,-2493885.915531927,1842694.5227840573,-4625.86711227872,16256.454836395544,-3868.6471280705805,-158320.7959503188,-6339722.898164638,680793.4274253935,-4625.86711227872,16256.454836395544,-3868.6471280705805,-5088.167051083715,16267.999772263416,-3868.6471280705805,17478.663882906647,19.69020149138357
2032-12-22 13:55:56.697,2463589.0805173265,-89.96657126057755,5.94666827002688,0.22763463078403556,-5498571.712233864,-2632074.9694828163,1875772.3932323453,-4700.579680650736,16238.78530959527,-3852.786961519217,3701.5100752647268,-6344267.978319727,656415.8048517033,-4700.579680650736,16238.78530959527,-3852.786961519217,-5163.211051966475,16238.51539119209,-3852.786961519217,17469.748076259817,18.656239335990637
2032-12-22 13:55:56.440,2463589.080514355,-89.90576736939182,5.935778231899568,0.22680457466047776,-5495384.504065022,-2637872.0228995164,1876968.8154189067,-4703.6643502780735,16238.072620520452,-3852.0296604230803,10434.425838200259,-6344384.310028151,655217.8570483697,-4703.6643502780735,16238.072620520452,-3852.0296604230803,-5166.30420463677,16237.311730099222,-3852.0296604230803,17469.37674503714,18.61410805234266
2032-12-22 13:55:42.336,2463589.0803511115,-86.9173423603537,5.486086197538936,0.19383969846808427,-5330642.1490023425,-2914196.4789021034,1942252.4945030387,-4852.967803210817,16201.536694552404,-3820.58939200036,341444.06204406125,-6340121.293828718,605730.569480794,-4852.967803210817,16201.536694552404,-3820.58939200036,-5315.296793489209,16176.638197958177,-3820.58939200036,17450.87123019312,16.553464510451093
2032-12-22 13:55:42.416,2463589.080352038,-86.81486760678514,5.46202452457028,0.19214810101748722,-5324669.719821118,-2924157.6769121583,1943662.9970611637,-4858.1204350030075,16200.365812895365,-3819.0141874875458,352796.9657093524,-6339752.239240179,603081.6170340539,-4858.1204350030075,16200.365812895365,-3819.0141874875458,-5320.422513393225,16174.639449412627,-3819.0141874875458,17450.235711982456,16.48770286217446
2032-12-22 13:55:40.999,2463589.080335638,-86.42410473092482,5.413796893046419,0.18877969848319634,-5301773.06204318,-2959306.063715709,1953033.9501958785,-4877.4248031073,16195.373557690256,-3815.593712425832,396057.47683378647,-6337699.80295593,597771.9242532298,-4877.4248031073,16195.373557690256,-3815.593712425832,-5339.57721546576,16166.492587615598,-3815.593712425832,17447.78847887762,16.221543146525345
2032-12-22 13:55:39.169,2463589.080314461,-86.04956355336039,5.35577351283101,0.18476625705494343,-5279821.5012100665,-2993274.3761611017,1960720.5346877596,-4895.746393640328,16190.77637511645,-3811.6375241134438,437519.32566658524,-6335572.138579314,591383.2152630154,-4895.746393640328,16190.77637511645,-3811.6375241134438,-5357.743654247378,16158.87195898807,-3811.6375241134438,17445.433232420128,15.97199691462572
2032-12-22 13:55:36.643,2463589.0802852255,-85.5371642830467,5.27599560521091,0.1793178795621321,-5249433.445408569,-3039546.7216396243,1971100.1547269821,-4920.702624274905,16184.486631310534,-3806.225721903947,494223.619582328,-6332215.558143326,582598.2576557789,-4920.702624274905,16184.486631310534,-3806.225721903947,-5382.4551191476985,16148.447272373405,-3806.225721903947,17442.20532686009,15.633613723976739
2032-12-22 13:55:36.201,2463589.0802801033,-85.37382337228946,5.2550903201488595,0.17790353800389133,-5239523.831278236,-3054151.199975278,1974887.8600887728,-4928.715907803994,16182.39299945466,-3804.764964348682,512290.6974789277,-6330990.944735789,580296.0362771738,-4928.715907803994,16182.39299945466,-3804.764964348682,-5390.379102448298,16145.036168265171,-3804.764964348682,17441.175882853688,15.52498082290638
