m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.4792,-53933852872.705345,-589120540.548688,28689.870123806846,-27502.681579504446,-4878.693714559061
4.867466257521635e+24,85867685278.11905,65805003527.71937,-4048904997.6759963,-21408.577743823098,27647.20658416957,1615.4095554863077
5.972365262433514e+24,-2117988288.7176917,147133540603.15854,-10349405.05182162,-30266.394613754706,-531.6867427518783,-0.3801263626217192
7.346031390779777e+22,-2486870167.9731355,147295919070.9297,-38371067.86545403,-30671.10259106525,-1410.15973160995,52.05354172511121
6.417120205436417e+23,-246481683319.85455,-8600683429.073536,5860214478.739884,1745.1037399395705,-22144.03175804872,-506.8765719630786
1.8981871943454438e+27,490753637407.81433,-581147155569.1649,-8562708687.532339,9832.0799648724,9048.202999445533,-257.558101096459
5.683361026390224e+26,-74249896608.97543,1346078553895.0269,-20401998201.44341,-10161.81191289928,-546.7861262871294,414.3409766985833
8.681273407389496e+25,40663727514.438995,2844899353345.192,9998455885.888319,-6853.394991055363,-214.4836668281654,87.77182051838524
1.0241261669693524e+26,4280568711705.9624,1262752179710.3413,-124779536614.58629,-1567.4746291429242,5253.583105065038,-72.3586096275277
0.0,-2352688100.562779,147208129002.3956,-23312072.70502072,-36223.0893261694,11198.898502258018,-2219.5176980277074
0.0,-2448039642.2830253,147236458935.40457,-28912357.76509465,-36281.71072449394,11118.658859061838,-2206.253851304023
0.0,-2226431304.843413,147171032394.5415,-16023210.015477473,-35988.326188995445,11479.420768268012,-2277.524442602762
0.0,-2528571843.2380576,147260470314.6856,-33672444.064214885,-36305.394465052115,11075.95417944562,-2200.254645719307
0.0,-2205256087.126321,147164930079.85565,-14842197.9817071,-35881.72165943009,11595.823771889049,-2305.247988024817
0.0,-2344367613.530551,147205663199.25906,-22824728.479888663,-36215.676412600544,11208.633539590264,-2221.2667139870427
0.0,-2247915609.0402117,147177279491.09113,-17243578.49942358,-36060.64163873105,11397.406615829625,-2259.1561446907403
0.0,-2210325487.4295597,147166383236.40002,-15123533.53740632,-35911.765303585795,11563.51342863574,-2297.3459075337823
0.0,-2650194229.2251863,147296752454.77545,-40877166.83869293,-36330.86268660339,11020.31462426463,-2193.526661439351
0.0,-2173407000.076471,147155929973.47437,-13137726.419015188,-35564.115334860435,11918.063802267901,-2392.003432686059
0.0,-2425042678.1363196,147229613126.29623,-27558077.62193854,-36270.88073014765,11133.851676545108,-2208.583556852244
0.0,-2425887294.216458,147229856157.9632,-27605814.451412037,-36271.31407287555,11133.254874769045,-2208.4908913598724
0.0,-2233525074.1476707,147173089601.7982,-16426532.357451703,-36015.20439302207,11449.265204915055,-2270.6357755007803
0.0,-2042757479.9415298,147108475357.4007,-3670471.5468417914,-36728.37271719143,11270.25807489083,-2226.1518861976724
0.0,-2593803850.6519623,147279918960.26492,-37531990.26509956,-36320.12167963933,11043.50865200639,-2196.1499788203673
0.0,-2416918983.0606217,147227201897.22952,-27080964.43508181,-36266.64047385081,11139.76377262905,-2209.5168865157193
0.0,-2409310999.8830366,147224940309.43268,-26634507.113309674,-36262.46134718318,11145.575096903964,-2210.4457797001514
0.0,-2250821909.745158,147178122585.17868,-17409404.521937978,-36068.631664537905,11388.181732494053,-2257.150327836769
0.0,-2242825294.251622,147175792367.94083,-16954077.9334194,-36045.78733769265,11414.4983689887,-2262.889295584612
0.0,-2687547793.877982,147307880389.74463,-43088341.55838549,-36336.822679733945,11006.636685705385,-2192.111659770828
0.0,-2687206308.930501,147307785751.96234,-43069901.002670825,-36336.769983165475,11006.754798110282,-2192.1226241112554
0.0,-2156950409.23086,147151462360.78998,-12341468.738649184,-35189.10652685755,12259.128016994855,-2501.1346347151502
0.0,-1990714292.4368818,147091802054.78793,-387623.8090764203,-36606.61547351316,11175.750062742633,-2203.4279258482284
0.0,-2606792422.4149494,147283795336.1928,-38300656.409002975,-36322.80156480637,11037.832147711893,-2195.4836584897535
0.0,-2548310775.9412193,147266353733.32343,-34836992.22291724,-36309.90052987817,11065.431386556971,-2198.875972853321
0.0,-2263312209.7201724,147181783931.9714,-18124404.682341322,-36099.21753757321,11352.389949622373,-2249.532769178429
0.0,-2376400597.191875,147215158602.82422,-24699230.02169709,-36241.63638189547,11174.130147466547,-2215.1948555094123
0.0,-2198684275.1451917,147163046847.57397,-14481144.739201676,-35837.10947001748,11643.210771511036,-2317.069982302599
0.0,-2460793288.0841475,147240257450.6849,-29666040.841583915,-36286.98808512851,11111.170748830034,-2205.1438682937587
0.0,-2515670892.5301723,147256615160.6122,-32906023.389486548,-36302.603198623685,11082.910173304575,-2201.1926261011267
0.0,-2220856477.058629,147169419024.14948,-15712932.412593432,-35964.56850388263,11505.796655002267,-2283.6090059980147
0.0,-2262505751.4070454,147181541234.91452,-18078758.87489096,-36097.4197671666,11354.529461945942,-2249.9724750791997
0.0,-2471235800.232312,147243366231.3016,-30281015.818196073,-36290.87875610097,11105.49647916299,-2204.3239624687717
0.0,-2656706692.9717264,147298679636.3616,-41257750.38361052,-36331.96845292981,11017.845685019442,-2193.265138858286
0.0,-2197423272.751507,147162692214.0169,-14412939.44489491,-35827.640968501466,11653.129998781309,-2319.591944158729
0.0,-2432949314.673776,147231968959.70786,-28024531.621014033,-36274.79147607874,11128.375130298362,-2207.7311000040118
0.0,-2417652324.6501966,147227417481.8943,-27124152.304401193,-36267.033822336,11139.218944333574,-2209.4293696346995
0.0,-2495820058.954158,147250699769.5963,-31734096.63665712,-36298.185222730775,11093.144158509764,-2202.5912753174357
0.0,-2079345375.1939754,147120636431.68427,-6082093.004151253,-37004.390142248434,11496.978468551679,-2283.1577789975736
0.0,-2181115237.4257855,147158083040.19125,-13538134.022360204,-35670.9906325737,11813.283005107756,-2362.159439881321
0.0,-2582364834.8026166,147276516458.25598,-36855900.19781054,-36317.654899360685,11048.70533694049,-2196.775358907845
0.0,-2356211703.836968,147209176877.62424,-23518954.523101058,-36226.06998398662,11194.954657427725,-2218.816565397229
0.0,-2153918037.805362,147150650578.9398,-12206657.264038097,-35081.78305494256,12350.11227644292,-2533.5452632391875
0.0,-2595337269.628109,147280385765.98544,-37623946.87162925,-36320.44009499039,11042.82744684618,-2196.069846613915
0.0,-2256280893.4733996,147179725426.76746,-17722103.381710503,-36082.66964788977,11371.820429924674,-2253.6436089864746
0.0,-2499303140.950661,147251743520.8843,-31941693.218413103,-36299.0139625303,11091.404116106716,-2202.3504230812277
0.0,-2533905688.428538,147262065636.0862,-33988459.43937117,-36306.58662095008,11073.070630425898,-2199.8729049487233
0.0,-2453567367.0647182,147238109333.8231,-29240948.070834618,-36284.06156895627,11115.334949058995,-2205.7567977177405
0.0,-2395543926.724317,147220837828.51154,-25820208.183602087,-36254.34379006711,11156.802489087564,-2212.2842978560166
0.0,-2354485703.2303185,147208662805.38644,-23416593.508547403,-36224.62194057956,11196.873477590025,-2219.159209789164
0.0,-2317256606.440449,147197642483.1527,-21242634.868704453,-36187.26659606313,11245.150341109396,-2228.0346152181423
0.0,-2516504691.825062,147256864578.77582,-32954879.564631846,-36302.78126476623,11082.462470793816,-2201.1325686845985
0.0,-2180899366.667703,147158020487.0744,-13527763.864797344,-35668.38277022456,11815.907002403184,-2362.8519343197263
0.0,-2253341083.8744884,147178865885.24152,-17555257.715870127,-36075.23738349621,11380.486781769117,-2255.4903856315677
0.0,-2352354991.806479,147208029495.84802,-23292069.074529972,-36222.80301683607,11199.2782525205,-2219.586444205039
0.0,-2459309869.9520564,147239823684.36356,-29580244.791678913,-36286.39731729231,11112.010638452375,-2205.2665178194006
0.0,-2426413387.8307047,147230019615.3595,-27637884.548807334,-36271.57450454384,11132.883200226595,-2208.4330737182268
0.0,-2361541475.165254,147210754658.71954,-23829977.091406357,-36230.42742399752,11189.16876215905,-2217.7983504146555
0.0,-2501444030.656264,147252376367.08826,-32066897.74668025,-36299.51072465127,11090.321709707849,-2202.20278126593
0.0,-2388216536.289418,147218669797.75092,-25395030.778873708,-36249.680485242716,11163.188414125054,-2213.3397600435846
0.0,-2619166164.4590077,147287489305.9646,-39034870.1072402,-36325.23745810528,11032.626067836338,-2194.884932899345
0.0,-2344131715.5281434,147205597706.6477,-22814333.786774594,-36215.45165959617,11208.921950147984,-2221.312241521459
0.0,-2040245714.4245555,147107659833.5856,-3510809.3241794705,-36718.82860476134,11262.582329372604,-2224.3118555563774
0.0,-2499359932.2492495,147251750599.43796,-31941301.568249647,-36299.033804838975,11091.370453468977,-2202.348723394128
0.0,-2858358488.6584325,147358815244.63452,-53237156.1377645,-36356.1218229728,10954.110104362062,-2187.5606613543996
0.0,-2682132014.7449374,147306272244.25684,-42769809.76824642,-36336.00750697081,11008.551973909154,-2192.3015530021316
0.0,-2201848869.036269,147163952476.77646,-14655372.133090409,-35859.47789032932,11619.547294642876,-2311.1160254838624
0.0,-2188765462.6132774,147160229936.23135,-13944350.656174894,-35753.711694378646,11729.80172732208,-2339.4948475874385
0.0,-2557776143.5260577,147269176439.44403,-35398452.996923104,-36312.09622602627,11060.58429494927,-2198.2534156544793
0.0,-2428597430.4866486,147230672992.6495,-27766782.164322186,-36272.66362507432,11131.35540449951,-2208.195413007209
0.0,-2651604611.458568,147297165759.9553,-40958483.79276179,-36331.10634002304,11019.775927163164,-2193.4689537126096
0.0,-2265007109.70729,147182277811.04147,-18222397.22070373,-36102.975702507334,11347.958551877764,-2248.596601460315
0.0,-2331284751.802396,147201796834.17584,-22063490.731018167,-36202.85180697688,11225.254723476557,-2224.3033093929844
0.0,-2324148208.1035366,147199678202.91455,-21644287.86569619,-36195.19406990339,11235.079300515285,-2226.1358783615983
0.0,-2318943774.788538,147198142191.9981,-21341201.9178918,-36189.25502772381,11242.629565673979,-2227.5571653805837
0.0,-2315796471.241223,147197222647.16998,-21160549.051307864,-36185.49708279481,11247.366948829826,-2228.4536602188737
0.0,-2257246258.431,147180002400.20456,-17776799.56165571,-36085.0584239809,11369.04333035464,-2253.048328502699
0.0,-2544052650.68055,147265087523.78772,-34589535.6301605,-36308.91045556055,11067.665151277844,-2199.1620982412137
0.0,-2401804418.2309203,147222702165.0105,-26191861.07705072,-36258.13058342149,11151.579478089601,-2211.4192850993522
0.0,-2388258836.4278274,147218686064.53268,-25396700.366204992,-36249.704965590434,11163.149833872349,-2213.336519494563
0.0,-2597381883.43917,147280993452.41156,-37744804.17442555,-36320.869399487405,11041.921991258496,-2195.962196787317
0.0,-2338910037.084708,147204046748.35193,-22504233.520778876,-36210.51539078793,11215.355773224863,-2222.492236356367
0.0,-2406696887.743192,147224156471.46634,-26477371.551931243,-36260.98244697519,11147.632090039735,-2210.7817073029955
0.0,-2210454914.229745,147166410592.4619,-15129906.204982057,-35912.55385211876,11562.717426085163,-2297.1392464520695
0.0,-2237779982.5021796,147174318416.69098,-16664764.439423112,-36029.8217772357,11432.733478828624,-2266.939991326276
0.0,-2527044950.7294636,147260021123.39563,-33583408.939619035,-36305.05373738308,11076.780264906236,-2200.3648413224546
0.0,-2563625989.1963797,147270929135.2729,-35745962.42195259,-36313.44047037043,11057.666387853087,-2197.8859464512507
0.0,-2509954405.6462665,147254914476.68707,-32567903.015278902,-36301.3807663262,11085.936718510318,-2201.605157939693
0.0,-2379039100.5856147,147215949984.41678,-24856779.1968314,-36243.48659611018,11171.614337539893,-2214.764238612156
0.0,-2497777049.0332613,147251285155.6265,-31849273.451866742,-36298.65704037007,11092.165948518177,-2202.4576189294903
0.0,-2357809428.2406383,147209647221.1779,-23612172.95849886,-36227.39886607021,11193.197842200962,-2218.5063953936933
0.0,-2646482285.362295,147295635623.1286,-40653520.59314127,-36330.228144340006,11021.736107078103,-2193.6802979321888
0.0,-2144088739.7849538,147148136540.85446,-11827827.906272793,-34556.98140666344,12753.97101614745,-2698.8101438413228
0.0,-2417923248.499362,147227499054.11157,-27139693.617813163,-36267.17842657334,11139.01438135041,-2209.397364618161
0.0,-2202802681.985807,147164225717.8925,-14708410.931980573,-35865.88795199491,11612.7318686675,-2309.4093418268963
0.0,-2335600377.2395525,147203069531.87094,-22313000.56800714,-36207.25440779307,11219.581520842736,-2223.261428449604
0.0,-2215061227.204064,147167754622.00476,-15390075.30171537,-35936.89472715724,11536.151048757982,-2290.7676926843983
0.0,-2649899456.327861,147296648886.57895,-40852617.704693906,-36330.81909408153,11020.424628578361,-2193.5420118393827
0.0,-2207896881.232297,147165686438.381,-14988901.458866732,-35897.80123115827,11578.576968680232,-2301.00617669073
0.0,-2236020870.6761966,147173816305.8803,-16568020.412141904,-36023.88028031451,11439.443912911582,-2268.4305995602194
0.0,-2103299057.2232864,147129308020.03375,-7854003.7601425005,-37915.24994909364,12211.398435290086,-2515.636870476259
0.0,-2277280587.6273293,147185876969.60562,-18928409.208309695,-36127.750897272505,11318.424438459466,-2242.4859430976835
0.0,-2169033800.23835,147154727555.8964,-12916710.892894996,-35488.61280149192,11989.898515949964,-2413.45967105864
0.0,-2552684602.2630877,147267658092.29117,-35096667.36395731,-36310.915979028185,11063.17236002128,-2198.5842408080835
0.0,-2312375697.8635736,147196213225.79028,-20963411.347852077,-36181.291564231164,11252.667048822368,-2229.4594826558337
0.0,-2059514875.2299337,147113968211.36038,-4755754.811083048,-36812.60266589463,11338.835191625392,-2242.77456166764
0.0,-2531393597.112435,147261311291.10016,-33837715.96811481,-36306.02449677083,11074.425127878683,-2200.053361335042
0.0,-2311972107.2975554,147196088277.66763,-20937929.668783013,-36180.796731085175,11253.298801273642,-2229.582890982866
0.0,-2319491939.6880608,147198305285.2053,-21373908.256117057,-36189.89216431446,11241.820482236166,-2227.4029238648627
