m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.480064,-53933852872.70452,-589120540.548541,28689.870123806322,-27502.681579505126,-4878.693714559067
4.867466257521635e+24,85867685278.11964,65805003527.71854,-4048904997.6760445,-21408.577743822825,27647.206584169777,1615.4095554862947
5.972365262433514e+24,-2117988288.7167802,147133540603.15854,-10349405.051821604,-30266.394613754706,-531.6867427516942,-0.38012636262166355
7.346031390779777e+22,-2486870167.9722123,147295919070.92972,-38371067.86545563,-30671.102591065322,-1410.1597316097361,52.05354172510557
6.417120205436417e+23,-246481683319.85458,-8600683429.072865,5860214478.7399,1745.103739939504,-22144.03175804872,-506.87657196307697
1.8981871943454438e+27,490753637407.814,-581147155569.1654,-8562708687.5323305,9832.079964872399,9048.20299944553,-257.5581010964589
5.683361026390224e+26,-74249896608.97516,1346078553895.0269,-20401998201.443424,-10161.811912899286,-546.786126287127,414.3409766985834
8.681273407389496e+25,40663727514.43921,2844899353345.1924,9998455885.88831,-6853.394991055363,-214.48366682816496,87.77182051838524
1.0241261669693524e+26,4280568711705.964,1262752179710.3413,-124779536614.58627,-1567.4746291429246,5253.583105065036,-72.3586096275277
0.0,-2390715212.3943553,147219412886.83856,-25540926.172168553,-36251.29449217018,11160.978091682873,-2212.9722084945442
0.0,-2402866829.9462724,147223014375.90982,-26251864.452741086,-36258.76159051372,11150.710149397197,-2211.2811110018706
0.0,-2475677602.7647147,147244695472.66885,-30543801.415701397,-36292.39661662856,11103.189749156598,-2203.9963201351034
0.0,-2408574201.8308263,147224718956.18143,-26591281.866237126,-36262.04701113819,11146.152960736594,-2210.537839325828
0.0,-2418731298.963836,147227741736.30377,-27188341.393443756,-36267.60413971355,11138.42072050303,-2209.301764894036
0.0,-2142495686.639008,147147754959.7558,-11781281.759195842,-34431.34187489151,12841.124112451193,-2739.646448002494
0.0,-2474744749.814553,147244420456.26566,-30490818.722259052,-36292.082066193645,11103.671702434664,-2204.0626061892876
0.0,-2429617106.3055816,147230976684.8549,-27829409.714392137,-36273.16691953351,11130.652101310021,-2208.081222839936
