m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.47383,-53933852872.71048,-589120540.5495998,28689.870123810113,-27502.681579500222,-4878.693714559015
4.867466257521635e+24,85867685278.115,65805003527.72453,-4048904997.6756935,-21408.577743824775,27647.20658416828,1615.409555486387
5.972365262433514e+24,-2117988288.7233489,147133540603.15842,-10349405.051821692,-30266.39461375469,-531.6867427530217,-0.3801263626220219
7.346031390779777e+22,-2486870167.978869,147295919070.9294,-38371067.86544433,-30671.102591064817,-1410.1597316112768,52.05354172514267
6.417120205436417e+23,-246481683319.8542,-8600683429.077671,5860214478.739789,1745.1037399399772,-22144.03175804871,-506.8765719630882
1.8981871943454438e+27,490753637407.81616,-581147155569.1635,-8562708687.532388,9832.07996487237,9048.202999445568,-257.55810109645836
5.683361026390224e+26,-74249896608.97737,1346078553895.0266,-20401998201.443336,-10161.811912899284,-546.786126287143,414.34097669858363
8.681273407389496e+25,40663727514.43772,2844899353345.1924,9998455885.88833,-6853.394991055363,-214.48366682816848,87.77182051838523
1.0241261669693524e+26,4280568711705.964,1262752179710.3423,-124779536614.58629,-1567.474629142926,5253.583105065035,-72.35860962752767
0.0,-2430731784.605651,147231307320.64206,-27894368.454313364,-36273.71488919646,11129.886235601329,-2207.9631411393175
0.0,-2401679702.601492,147222669925.34283,-26184589.8271039,-36258.0527041317,11151.681088044123,-2211.4384006203695
0.0,-2511201100.3939257,147255296464.40555,-32647054.252094474,-36301.64106387124,11085.285403891696,-2201.5117565005944
0.0,-2160086957.9563966,147152290307.58557,-12483361.169744555,-35284.07261992309,12176.58595002739,-2472.922207328603
0.0,-2251280271.7902293,147178257950.11902,-17433319.2460509,-36069.8540455552,11386.75695310671,-2256.8588619371844
0.0,-2506770002.261261,147253975483.79453,-32384032.41112737,-36300.68761964259,11087.595747187335,-2201.829001459988
0.0,-2099384674.8206472,147127792155.26535,-7533430.741822022,-37605.516866272046,11979.074026513612,-2429.8754324724723
0.0,-2299576163.1102695,147192426561.23816,-20216977.01887344,-36164.18400063631,11274.02784531129,-2233.5966526828756
0.0,-2145948110.8463998,147148600073.75778,-11889546.145953253,-34684.9124539306,12661.297779654073,-2657.7121257714225
0.0,-2062031281.3124394,147114796018.51834,-4919204.050620791,-36829.483072794006,11352.731896345696,-2246.2011864652063
0.0,-2283831378.526131,147187795552.68637,-19305530.243147466,-36139.48193410821,11304.274536631126,-2239.6123832338517
0.0,-1980492289.9905741,147088566444.1454,249478.7070340506,-36593.39239709387,11166.271457024872,-2201.057663619558
0.0,-2371183682.144915,147213610756.65662,-24395626.53673217,-36237.84865565408,11179.240472648065,-2216.0675372357045
0.0,-2323047574.5476656,147199359231.3676,-21581446.97313874,-36193.95300857212,11236.652438823425,-2226.4303139483172
0.0,-1966671942.111576,147084204521.89664,1105357.4307605145,-36578.31599676987,11155.844302134956,-2198.3771650211606
0.0,-2252172723.2682414,147178514324.2099,-17483605.20912176,-36072.23030739637,11384.012101207518,-2256.266320144092
0.0,-2142551540.7066698,147147760332.1903,-11780137.169858636,-34436.55037060655,12837.90398962876,-2738.227662593905
0.0,-2476794619.3717647,147245028149.1743,-30609716.55003579,-36292.76560731953,11102.618491054354,-2203.9146505300823
0.0,-2449251831.1408935,147236821377.50797,-28985286.369432155,-36282.23416608792,11117.919899177376,-2206.141441119208
0.0,-2631828965.2790008,147291272076.94586,-39787771.10401052,-36327.61260363435,11027.484235427237,-2194.307060641
0.0,-2411374733.966555,147225544682.16827,-26752444.477156986,-36263.62393460639,11143.969457632618,-2210.189179475607
0.0,-1958949029.1017628,147081778520.75925,1583123.3007115328,-36571.02162307529,11150.97162725815,-2197.090547131016
0.0,-2006242569.9901967,147096739333.7659,-1358995.1942535967,-36631.25814484373,11194.010380902319,-2207.895923806018
0.0,-2211958707.6501555,147166848732.93524,-15213815.851807382,-35920.768385598334,11553.779288841915,-2294.993848282878
0.0,-2087251201.3657813,147123377263.01132,-6630258.1247272035,-37148.394425452665,11615.35284475119,-2315.706804692432
0.0,-2342101783.515277,147204989813.10812,-22693034.109072078,-36213.56616629379,11211.391690944038,-2221.762810247989
0.0,-2046492584.7444909,147109694402.0973,-3913298.4835984944,-36743.796401319625,11282.706471704245,-2229.133455779971
0.0,-2157927987.205506,147151718078.23938,-12385257.304175142,-35220.38676266207,12232.236376079822,-2491.7815439837127
0.0,-2237078593.0566516,147174119752.8019,-16625589.108673023,-36027.46778223523,11435.388927744996,-2267.5360430455953
0.0,-2403811658.4619,147223305072.77444,-26311861.220586948,-36259.30560318863,11149.949472310916,-2211.153090676785
0.0,-1988140409.8650796,147090987309.76245,-227239.65930422148,-36603.093979547,11173.197955330634,-2202.795264738209
0.0,-2065794015.5000074,147116048619.19623,-5169748.502935626,-36857.76709790001,11376.015399262247,-2251.973920265544
0.0,-2341657855.2197447,147204860844.43323,-22666050.620371796,-36213.14431986778,11211.937012159537,-2221.866126848466
0.0,-2567290070.163095,147272018252.46237,-35963253.47739621,-36314.28093337282,11055.867787826524,-2197.6576701022245
0.0,-2271737916.1852946,147184243359.50977,-18606982.69595209,-36117.07389176185,11331.230216640159,-2245.120721001476
0.0,-1973499262.9705887,147086362622.21707,681796.8071405453,-36585.41284092174,11160.692250737942,-2199.6348799226953
0.0,-2274414798.3385453,147185034718.78363,-18763756.096542455,-36122.31817459072,11324.945229691219,-2243.818441385918
0.0,-2136743248.3995116,147146383159.04532,-11651827.81468963,-33808.922516737475,13229.228993404122,-2950.670860850688
0.0,-2615414922.5230136,147286373209.99628,-38814655.569458045,-36324.508403196036,11034.187956999182,-2195.0615493096034
0.0,-2429140912.2994204,147230835603.9872,-27799417.864823557,-36272.932134864874,11130.978852954006,-2208.1354805526325
0.0,-2361337052.183731,147210693984.1398,-23818039.357149635,-36230.263438964,11189.388193718578,-2217.8371821846763
0.0,-2478881736.3578763,147245646767.06284,-30732824.13836508,-36293.44151810187,11101.559211748434,-2203.764100924978
0.0,-2241666429.8319416,147175453093.27206,-16885895.198365215,-36042.23989681697,11418.56281897622,-2263.798075327039
0.0,-2269197248.701412,147183499621.47983,-18462122.305766392,-36111.90452124513,11337.385639050623,-2246.3902750751745
0.0,-2203939022.197948,147164548216.01254,-14768706.568741612,-35873.365932719025,11604.779820279311,-2307.459082759237
0.0,-2441936848.225828,147234635997.3457,-28551866.753836475,-36279.003309785105,11122.47296597386,-2206.8292417324665
0.0,-1954003405.1147878,147080220040.24097,1889768.4436251281,-36566.70266915227,11148.15347712459,-2196.3325714541047
0.0,-2165910013.4655414,147153867791.74905,-12762160.576794885,-35426.15428352892,12048.193440762627,-2431.3949022879083
0.0,-2280493772.4866734,147186822966.8597,-19115032.183944225,-36133.61104102051,11311.358526256054,-2241.043844670827
0.0,-2559063925.9340057,147269563805.12796,-35474073.04966384,-36312.39257744049,11059.935717987559,-2198.1724981125208
0.0,-1964306092.3959088,147083461415.56024,1252302.7765006234,-36576.00519532218,11154.285078377972,-2197.969798561885
0.0,-1942281940.9871564,147076542032.36404,2613832.7718746345,-36557.43070582038,11142.290567798605,-2194.710558647117
0.0,-2000828442.2742364,147095015919.2074,-1019883.8170481077,-36621.93750527166,11187.022998476792,-2206.197632940608
0.0,-1897530536.8427212,147062531590.52533,5363531.8483510865,-36531.00268115699,11127.530027914776,-2190.138506981951
0.0,-2549932940.4571342,147266835839.58444,-34934461.57271567,-36310.27722479749,11064.592281453386,-2198.7654368334233
0.0,-2372042042.6348906,147213864268.08032,-24443572.78955553,-36238.48423409506,11178.385069071328,-2215.92544270595
0.0,-1997847827.7661066,147094063751.02136,-831275.0893326093,-36617.15295636242,11183.476363888858,-2205.3332358499433
0.0,-1907597605.723693,147065677136.7028,4748151.5989999315,-36535.97819251585,11130.025389845925,-2190.994296989946
0.0,-2347405389.800452,147206570013.57346,-23004180.971079797,-36218.43612785001,11205.009305071892,-2220.6123447047066
0.0,-1950387618.2770672,147079079997.66562,2114988.121019944,-36563.70335454859,11146.22872298686,-2195.807326185621
0.0,-2160640720.3890486,147152442951.18134,-12509945.638467865,-35299.19940549514,12163.105344518224,-2468.4403254057765
0.0,-2275686911.6693716,147185417803.67252,-18840588.97445043,-36124.729244415474,11322.03268214295,-2243.2142278688625
0.0,-2396051691.288713,147220992177.52756,-25852496.343490835,-36254.653542182365,11156.373670715553,-2212.2101088413942
0.0,-2342521408.5459538,147205121413.81253,-22719029.137337662,-36213.950739173815,11210.879369556671,-2221.670187150363
0.0,-2343687893.881114,147205464347.35864,-22785482.401064087,-36215.04338136912,11209.457433711812,-2221.415244821503
0.0,-2072734928.1829977,147118379933.62033,-5631211.238568747,-36922.03895898718,11429.048419009074,-2265.4150045842575
0.0,-2150362883.4449296,147149721287.02008,-12056117.795755884,-34929.442165644185,12474.066819633186,-2580.5595734749922
0.0,-2533432046.462743,147261908989.32758,-33954594.31423108,-36306.489122264706,11073.322823020806,-2199.909179898027
0.0,-2316223498.1617494,147197341552.66,-21183284.379506815,-36186.02335875486,11246.715905333955,-2228.332757458863
0.0,-2135772536.3309083,147146166871.33594,-11641545.821339898,-33665.994833814955,13307.86420862114,-3000.8183889130987
0.0,-2399835529.6219645,147222127611.48837,-26078761.334574647,-36256.946379645306,11153.202685378752,-2211.6846500804827
0.0,-2402597487.5924344,147222938485.14935,-26237523.05528632,-36258.59883464446,11150.931544043138,-2211.315878369007
0.0,-1892705255.9346216,147061030239.6046,5659454.916803173,-36528.776100647214,11126.462441910182,-2189.7582846671035
0.0,-2558512161.761046,147269398592.75674,-35442280.31673445,-36312.265442569966,11060.212757522648,-2198.2060449048454
0.0,-2053878984.9741392,147112105523.79468,-4388290.585651093,-36779.428333779266,11311.705001833418,-2236.1444636250153
0.0,-2139112687.7425323,147146931876.25616,-11692295.89059878,-34105.219002503545,13053.980226406655,-2848.8608977262174
0.0,-2513449398.7155366,147255960312.28198,-32776457.052065734,-36302.12521007423,11084.093794351662,-2201.353856635437
0.0,-2455837896.7218685,147238786492.8367,-29374224.478454527,-36284.9988225803,11114.005018934628,-2205.561174893664
0.0,-2086540175.7364268,147123136330.3522,-6582723.139233899,-37132.68950723154,11602.353158233513,-2312.021372522192
0.0,-1943599825.0633745,147076956065.02103,2530026.1232699007,-36558.41220966119,11142.898955854464,-2194.879447003354
0.0,-2417163255.4119916,147227271542.64484,-27094415.62294977,-36266.77379422876,11139.580755140969,-2209.487837513123
