t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240932735.04934907,3,792,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2079391488.759303,147123880692.6713,-6800774.374672011,-36495.17668014627,13435.220103933514,-2813.538167805333,0.9482470774863025
240932735.04934907,3,67,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2081757581.334546,147124909722.8955,-7013477.79781732,-36226.03136271503,13490.187212837187,-2832.9609154995137,0.9721951390153041
240932735.04934907,3,552,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2078157182.6344147,147123338125.08792,-6686350.656653397,-36629.613061046526,13366.430046938684,-2791.688893358127,0.9533146824305591
240932735.04934907,3,654,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2076907784.0478659,147122781574.4499,-6571384.073846683,-36752.22507935994,13272.890956888632,-2762.444224456748,0.9708152309598596
240932735.04934907,3,821,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2082827826.1959352,147125364430.5599,-7105608.596478559,-36110.989732042595,13481.293290503396,-2831.5563751501854,0.9971797302991383
240932735.04934907,3,366,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2078827190.5403242,147123631576.82584,-6747630.610248566,-36557.92779227861,13406.615751433494,-2804.437890799626,0.9491902755859261
240932735.04934907,3,800,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2079106189.262042,147123746411.52634,-6771615.173486367,-36527.40601069241,13419.854097929736,-2808.669868291806,0.9490361545786347
240932735.04934907,3,590,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2078269113.3489752,147123387458.9402,-6698017.368265584,-36617.86748160978,13373.794467066133,-2793.856408971155,0.952329532992982
240932735.04934907,3,875,-2074375845.6393032,147134300387.6521,-10348859.024755053,-30266.4808604573,-522.873333848051,-0.3777428222675011,-2081557754.2669888,147124819144.48492,-6994746.61231637,-36248.68457305984,13488.764787462726,-2832.274734814944,0.9687898895235832
240932807.96597043,3,584,-2076582775.0069556,147134262245.2354,-10348886.572890392,-30266.4765576132,-523.3193171601628,-0.3778636415817859,-2077592807.3860264,147122877239.8514,-6590923.4277698,-36899.003023896046,13270.610369633183,-2765.7425808663606,0.9431953437071944
240932807.96597043,3,247,-2076582775.0069556,147134262245.2354,-10348886.572890392,-30266.4765576132,-523.3193171601628,-0.3778636415817859,-2077562903.790069,147122859149.57492,-6586056.612059354,-36901.307886781586,13266.517130394455,-2764.574461864351,0.9444628481707008
240932807.96597043,3,903,-2076582775.0069556,147134262245.2354,-10348886.572890392,-30266.4765576132,-523.3193171601628,-0.3778636415817859,-2077563560.9768748,147122861456.79813,-6587240.0742866965,-36901.31760421189,13266.994743194156,-2764.6555156894888,0.9442668758991796
240932875.8603795,3,881,-2078637699.410692,147134226700.68253,-10348912.231537465,-30266.47254523743,-523.7345831529302,-0.3779761197351456,-2088922498.4927652,147127706869.12308,-7596709.626376328,-35742.04563768484,13655.74284472404,-2903.9860528861623,0.978686005432138
240932944.1126296,3,406,-2080703454.1268144,147134190940.37265,-10348938.033116255,-30266.468505984616,-524.1520380899067,-0.37808917165860956,-2077726469.60555,147122505756.52472,-6507392.157452849,-37206.64483386956,13012.34217300425,-2694.901546518731,0.9921054731880968
240932944.1126296,3,101,-2080703454.1268144,147134190940.37265,-10348938.033116255,-30266.468505984616,-524.1520380899067,-0.37808917165860956,-2078202501.2635396,147122711344.71402,-6550286.91574312,-37190.600069376866,13074.559141481635,-2713.933166020371,0.9679705404606694
240932944.1126296,3,468,-2080703454.1268144,147134190940.37265,-10348938.033116255,-30266.468505984616,-524.1520380899067,-0.37808917165860956,-2078591779.843871,147122885600.12094,-6586027.08182114,-37175.296887573306,13127.345890291957,-2730.2788297760526,0.9486156395995687
240933006.7703141,3,708,-2082599880.8449082,147134158086.21326,-10348961.72655931,-30266.46479276746,-524.5352749140363,-0.37819294001390846,-2079065091.4113266,147122891471.42328,-6584394.278487805,-37274.48735968003,13024.765577931543,-2702.6343232692125,0.971575271506153
240933069.76808518,3,790,-2084506600.5477605,147134125029.523,-10348985.555157473,-30266.461054515054,-524.9205920533683,-0.3782972553567086,-2079697642.0133173,147122956779.96707,-6594998.006422617,-37350.10748080036,12928.140403485144,-2676.71819928833,0.9976181950382536
240933133.98754197,3,857,-2086450296.11322,147134091306.79535,-10349009.852615764,-30266.45723873091,-525.313381695092,-0.3784035768789798,-2081811849.8320868,147123669185.98404,-6742494.5107902195,-37415.99538009234,13033.288478403269,-2713.8987350163916,0.9379092572591186
240933133.98754197,3,262,-2086450296.11322,147134091306.79535,-10349009.852615764,-30266.45723873091,-525.313381695092,-0.3784035768789798,-2080922346.1178098,147123279725.01254,-6660280.6869233595,-37414.24464116897,12901.276202917403,-2672.366707203537,0.9948637581893454
240933193.83723623,3,935,-2088261734.218466,147134059855.99573,-10349032.502918923,-30266.453678010133,-525.6794444837927,-0.3785026486030429,-2082512861.224353,147123759937.97742,-6757464.170745179,-37475.68008709156,12933.650831506166,-2686.616855636772,0.9666096212687891
240933325.12882158,3,332,-2092235464.3913906,147133990785.99265,-10349082.211396076,-30266.445851423716,-526.4824729188547,-0.3787199296096396,-2084935573.4281406,147124381267.1261,-6880868.164605637,-37591.24677952631,12831.785295548969,-2663.5633331488157,0.9843206690002867
240933388.68869627,3,413,-2094159195.7759068,147133957310.478,-10349106.286129499,-30266.44205484001,-526.8712292316786,-0.3788250926050714,-2086316794.8991547,147124757615.4536,-6955428.037335927,-37644.73428346025,12803.007190611364,-2659.066265579114,0.9843048186816401
240933452.70909494,3,354,-2096096865.3403342,147133923567.43753,-10349130.542053191,-30266.438225711605,-527.2628025147422,-0.37893100079398684,-2087708130.5350263,147125135902.20248,-7032482.980556256,-37695.0267638064,12768.979560768312,-2652.7501229692357,0.9872329701869265
240933589.2530663,3,832,-2100229564.455438,147133851515.8628,-10349182.29821542,-30266.430041983695,-528.0979585234126,-0.3791568276432978,-2090965979.4527996,147126063403.5878,-7217833.500336833,-37809.632394744986,12722.202208014081,-2648.7636508674022,0.9799853602328974
240933726.66752163,3,859,-2104388608.8875139,147133778889.82233,-10349234.415454809,-30266.421782869336,-528.9384398129365,-0.37938401685038387,-2094306604.3792193,147127018357.61478,-7408468.202100548,-37917.50896444789,12663.201241048471,-2641.5021206500223,0.9791248330004931
240933726.66752163,3,617,-2104388608.8875139,147133778889.82233,-10349234.415454809,-30266.421782869336,-528.9384398129365,-0.37938401685038387,-2094606776.8163111,147127151039.64188,-7440068.391123337,-37948.38233136291,12705.95956500903,-2656.80842793694,0.9539339982311517
240933726.66752163,3,843,-2104388608.8875139,147133778889.82233,-10349234.415454809,-30266.421782869336,-528.9384398129365,-0.37938401685038387,-2094482724.297093,147127094856.95712,-7426498.347915285,-37935.287968209,12687.972050993369,-2650.3614381934044,0.9644073933354975
240933726.66752163,3,749,-2104388608.8875139,147133778889.82233,-10349234.415454809,-30266.421782869336,-528.9384398129365,-0.37938401685038387,-2094478541.8426728,147127086260.496,-7423678.893897485,-37933.89770672627,12687.102336203401,-2650.0814441411185,0.9650901286573899
240933867.49186975,3,769,-2108650857.407286,147133704341.76263,-10349287.858350797,-30266.41329464552,-529.7997784636356,-0.37961676318210474,-2098067012.8394654,147128128319.51672,-7636340.8606121,-38050.332565031924,12628.294693847705,-2644.337491591574,0.961614350100896
240932739.32780036,3,772,-2074505339.3052835,147134298150.508,-10348860.640924513,-30266.480608164944,-522.8995023302357,-0.3777499120563929,-2078299724.1295624,147123383597.33838,-6696545.614095807,-36627.57167402993,13374.95300427778,-2794.486535396702,0.9500231327353228
240932739.32780036,3,243,-2074505339.3052835,147134298150.508,-10348860.640924513,-30266.480608164944,-522.8995023302357,-0.3777499120563929,-2077376362.63373,147122981086.2114,-6611904.497735061,-36720.61774134637,13309.064723247806,-2773.969797594891,0.9610188332027261
240932811.9525436,3,702,-2076703434.5317185,147134260158.93604,-10348888.079284636,-30266.476322174607,-523.3437004315392,-0.37787024651234363,-2077989527.6553128,147123035798.67728,-6622791.238208684,-36876.62437786737,13306.267874187479,-2777.127634497467,0.9325912925603372
240932811.9525436,3,847,-2076703434.5317185,147134260158.93604,-10348888.079284636,-30266.476322174607,-523.3437004315392,-0.37787024651234363,-2077580489.520515,147122861459.35373,-6586051.628035293,-36911.19817802795,13264.240262765383,-2764.1771978092193,0.943513625728426
240932879.55170837,3,759,-2078749422.9171517,147134224767.36423,-10348913.62678295,-30266.47232692695,-523.7571606216446,-0.3779822344814083,-2078301133.1830764,147122967134.68152,-6607185.455900751,-37040.12207549497,13235.479832136287,-2759.3814753556812,0.9306509035828281
240932879.55170837,3,741,-2078749422.9171517,147134224767.36423,-10348913.62678295,-30266.47232692695,-523.7571606216446,-0.3779822344814083,-2077449392.0654094,147122592319.2549,-6527566.960695115,-37091.03248799878,13129.09194108104,-2726.761839222202,0.9652398488354718
240932943.3346114,3,11,-2080679906.2660577,147134191348.1706,-10348937.738956533,-30266.468552061066,-524.1472794540589,-0.3780878830696341,-2078414592.1050725,147122809814.21426,-6571267.6294671325,-37181.10459999749,13105.363292068829,-2723.3384187007528,0.9567189894481498
240933006.43588528,3,672,-2082589758.8698587,147134158261.6326,-10348961.600080822,-30266.464812599213,-524.5332294277069,-0.3781923862041107,-2078578436.5237827,147122675022.09695,-6539844.050223872,-37282.87515422116,12958.749507421928,-2682.2154674961666,0.9992079930945856
240933071.19118485,3,963,-2084549672.7412822,147134124282.50247,-10348986.093513886,-30266.460970012584,-524.9292962485154,-0.3782996116193383,-2080760168.4991894,147123416249.26355,-6691627.126328021,-37340.48132874682,13077.537982635016,-2723.3872107515435,0.9354681588652456
