m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.47904,-53933852872.70548,-589120540.548713,28689.87012380694,-27502.681579504333,-4878.693714559059
4.867466257521635e+24,85867685278.1189,65805003527.71951,-4048904997.675987,-21408.577743823138,27647.206584169533,1615.40955548631
5.972365262433514e+24,-2117988288.717847,147133540603.1585,-10349405.051821625,-30266.3946137547,-531.6867427519097,-0.3801263626217246
7.346031390779777e+22,-2486870167.973293,147295919070.92966,-38371067.865453795,-30671.102591065235,-1410.1597316099862,52.05354172511183
6.417120205436417e+23,-246481683319.85452,-8600683429.073647,5860214478.7398815,1745.103739939581,-22144.03175804872,-506.8765719630788
1.8981871943454438e+27,490753637407.81433,-581147155569.165,-8562708687.53234,9832.079964872393,9048.202999445535,-257.5581010964588
5.683361026390224e+26,-74249896608.97552,1346078553895.0266,-20401998201.44341,-10161.811912899286,-546.7861262871296,414.3409766985834
8.681273407389496e+25,40663727514.43898,2844899353345.193,9998455885.888313,-6853.394991055364,-214.48366682816552,87.77182051838524
1.0241261669693524e+26,4280568711705.964,1262752179710.3413,-124779536614.58626,-1567.4746291429249,5253.583105065037,-72.3586096275277
0.0,-2249942790.085817,147177868121.37646,-17358199.390954353,-36066.25099716709,11390.931700934587,-2257.753223203008
0.0,-2614224508.7358513,147286013047.00464,-38742408.86843477,-36324.277968244045,11034.68511970854,-2195.1199861294804
0.0,-2524285376.1776605,147259187548.15277,-33416920.306636333,-36304.45486996464,11078.2735978221,-2200.5666179545115
0.0,-2330891669.745987,147201668027.5253,-22035630.150233064,-36202.461821418554,11225.776155469197,-2224.40523256915
0.0,-2381865922.5359135,147216783595.50092,-25020563.48086376,-36245.4438174317,11168.963599678958,-2214.3149340880764
0.0,-2594742365.8424826,147280207581.42535,-37588392.076413155,-36320.31590318637,11043.089759467955,-2196.101300206044
0.0,-2601557532.621163,147282241481.98428,-37992274.439054854,-36321.73250678109,11040.0935764925,-2195.7471119834822
0.0,-2472974117.1383038,147243884006.86942,-30383266.98338491,-36291.48467147912,11104.585186900717,-2204.1941045943972
