m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.48223,-53933852872.70243,-589120540.5481728,28689.870123805016,-27502.681579506836,-4878.6937145590855
4.867466257521635e+24,85867685278.12126,65805003527.71645,-4048904997.676166,-21408.577743822138,27647.206584170297,1615.4095554862631
5.972365262433514e+24,-2117988288.7144942,147133540603.1586,-10349405.051821578,-30266.3946137547,-531.686742751232,-0.38012636262154054
7.346031390779777e+22,-2486870167.9698954,147295919070.92984,-38371067.86545957,-30671.102591065486,-1410.1597316091995,52.05354172509281
6.417120205436417e+23,-246481683319.85464,-8600683429.07119,5860214478.739939,1745.10373993934,-22144.031758048728,-506.8765719630731
1.8981871943454438e+27,490753637407.81323,-581147155569.166,-8562708687.5323105,9832.07996487241,9048.202999445512,-257.55810109645915
5.683361026390224e+26,-74249896608.9744,1346078553895.027,-20401998201.44346,-10161.811912899286,-546.7861262871215,414.34097669858323
8.681273407389496e+25,40663727514.43973,2844899353345.193,9998455885.888302,-6853.394991055364,-214.4836668281637,87.77182051838524
1.0241261669693524e+26,4280568711705.963,1262752179710.3408,-124779536614.58624,-1567.474629142924,5253.583105065035,-72.35860962752771
0.0,-2094322813.3345609,147125911137.57312,-7144135.127259438,-37357.93414625937,11784.741219687096,-2366.0839581782425
0.0,-2100762212.173651,147128320717.50485,-7644510.721874176,-37698.41305391323,12049.946653236331,-2454.8835178749323
0.0,-2137320335.5218165,147146522206.4203,-11661612.981510036,-33886.802093566235,13184.316746010647,-2923.4688761847565
0.0,-2175613693.49936,147156549211.5554,-13252519.36563664,-35597.614787037994,11885.531157616755,-2382.556903577426
0.0,-2173801241.164521,147156043959.80542,-13159292.991238294,-35570.23703375714,11912.099334274735,-2390.2469513125525
0.0,-2171022718.1088557,147155273676.79675,-13017030.597730923,-35524.52440750907,11955.936979395541,-2403.204849747164
0.0,-2171616300.659944,147155434349.17877,-13046887.94286383,-35534.76100740991,11946.224344484768,-2400.2957367208774
0.0,-2175100130.0212502,147156405485.71622,-13226467.29036374,-35590.0416922235,11892.910483785097,-2384.6666080721775
0.0,-2140892963.6869683,147147363783.9774,-11736215.4048236,-34288.39955925703,12936.90494559156,-2787.048253239041
0.0,-2147695911.698787,147149040405.35355,-11953876.17913069,-34790.4920102363,12582.152299713167,-2623.9956430564234
0.0,-2147554767.105449,147149011223.58112,-11949457.500658313,-34782.126850798886,12588.284530595563,-2626.6371291645087
0.0,-2134836387.1438928,147145960704.04306,-11636574.97365855,-33513.921708141934,13387.752783322328,-3054.41940110643
0.0,-2178295646.9803042,147157293618.86566,-13389667.183154259,-35635.12863677284,11848.822619505238,-2372.1244771786705
0.0,-2163516164.471972,147153224068.77765,-12648471.335699786,-35372.06561430054,12097.591870013895,-2447.0092572999665
0.0,-2179290955.404744,147157565394.09848,-13441876.382760536,-35648.26194660034,11835.931087862878,-2368.452676017176
0.0,-2136318593.834773,147146292269.39584,-11646878.723224368,-33747.80858611321,13262.994105348273,-2972.2501022820215
0.0,-2184302341.7269707,147158975515.01224,-13706138.87290353,-35707.82028922284,11776.388902359893,-2352.0260500137565
0.0,-2072534696.1643422,147118311737.85217,-5618913.280311327,-36919.91261173512,11427.296160415275,-2264.954599591213
0.0,-2182308072.46447,147158414228.1297,-13600098.095137266,-35685.24514993348,11799.079969871938,-2358.24004550239
0.0,-2102080234.7859025,147128826197.56577,-7750045.748430164,-37802.008991733026,12128.105980148544,-2483.6679221221507
0.0,-2173472051.2666965,147155947398.04913,-13141967.857652815,-35565.15052550806,11917.076555695368,-2391.679781750025
0.0,-2181819136.8046074,147158278782.5,-13575807.831721107,-35679.458913648974,11804.853119079618,-2359.8037597908856
0.0,-2178194328.8062787,147157261509.70654,-13385236.909015171,-35633.825432458565,11850.154199263385,-2372.456212343314
0.0,-2076400171.4517224,147119622444.3582,-5877798.0321480865,-36964.461566627295,11464.09625484529,-2274.5016297028014
0.0,-2179266771.844367,147157562417.6972,-13441540.900043998,-35647.89459090972,11836.253268663799,-2368.540339393732
0.0,-2097499780.470995,147127083625.0652,-7385458.657969315,-37498.996458874935,11896.313277089,-2401.8965798276827
0.0,-2142956799.5387924,147147864204.54333,-11794006.436887205,-34469.39266912463,12815.105916099075,-2727.253325307951
