#jd0_246080050-Nast_20000-obj_2024_YR4-orbit_59
m,x,y,z,vx,vy,vz
1.9884754159566474e+30,0.0,0.0,0.0,0.0,0.0,0.0
3.301109449002709e+23,-41646572925.4828,-53933852872.70187,-589120540.5480745,28689.87012380465,-27502.68157950729,-4878.693714559092
4.867466257521635e+24,85867685278.1217,65805003527.715904,-4048904997.6761985,-21408.57774382197,27647.206584170435,1615.4095554862545
5.972365262433514e+24,-2117988288.7138853,147133540603.15863,-10349405.05182157,-30266.394613754714,-531.686742751109,-0.3801263626215097
7.346031390779777e+22,-2486870167.969279,147295919070.9299,-38371067.865460604,-30671.102591065544,-1410.1597316090574,52.05354172508955
6.417120205436417e+23,-246481683319.8547,-8600683429.07075,5860214478.739947,1745.1037399392958,-22144.031758048728,-506.87657196307214
1.8981871943454438e+27,490753637407.8131,-581147155569.1663,-8562708687.532308,9832.079964872417,9048.20299944551,-257.55810109645927
5.683361026390224e+26,-74249896608.97418,1346078553895.0266,-20401998201.443462,-10161.811912899282,-546.78612628712,414.3409766985832
8.681273407389496e+25,40663727514.439865,2844899353345.1914,9998455885.888302,-6853.394991055363,-214.48366682816336,87.77182051838525
1.0241261669693524e+26,4280568711705.963,1262752179710.3403,-124779536614.58624,-1567.4746291429242,5253.583105065035,-72.35860962752771
0.0,-2169746783.343963,147154916914.77826,-12952131.578623978,-35501.92631792322,11977.445968399494,-2409.6439793623235
0.0,-2335260479.0086036,147202974256.4185,-22295242.559568673,-36206.90738421235,11220.020661844528,-2223.3395078365647
0.0,-2581585187.9165883,147276275947.25693,-36805926.24663273,-36317.488232804804,11049.064402722981,-2196.821650731284
0.0,-2685226220.3867564,147307192083.11887,-42952585.21678572,-36336.47458912394,11007.455873274734,-2192.1928250871506
0.0,-2354776416.1975627,147208750509.7274,-23433543.791614436,-36224.86648935609,11196.547024552256,-2219.102443147337
0.0,-2446426080.7128067,147235976909.80313,-28816596.853023797,-36281.00614617302,11119.65274004003,-2206.404385433304
0.0,-2399605116.999201,147222054041.84686,-26062454.04240004,-36256.8126387532,11153.392446358419,-2211.719562136009
0.0,-2464661244.268602,147241407876.4601,-29891855.759261902,-36288.47936883993,11109.021028783669,-2204.833489598505
0.0,-2795039867.395556,147339941744.5182,-49473437.8619473,-36350.15988374957,10972.123941377986,-2188.9663434859926
0.0,-2515771797.274462,147256652369.50504,-32912734.706518374,-36302.620331461985,11082.857828158083,-2201.186604768151
0.0,-2446535516.030058,147236008828.84204,-28822760.11725801,-36281.05515339457,11119.583518981182,-2206.393859627374
0.0,-2411517421.774823,147225590598.0851,-26761769.651410192,-36263.699880188164,11143.860821192487,-2210.1722029989223
0.0,-2417307728.6588745,147227315930.61566,-27104293.485476803,-36266.84894518653,11139.476205839293,-2209.4696334428854
0.0,-2316057190.305057,147197300584.42603,-21176014.01348131,-36185.80982110763,11246.970297131515,-2228.3786835992246
0.0,-2426812273.737154,147230144504.3848,-27663513.81103439,-36271.77010839373,11132.604055045347,-2208.3878913457797
0.0,-2471038845.515499,147243314194.92874,-30270816.933347303,-36290.80538240772,11105.601399567979,-2204.338995911314
0.0,-2502557408.7701316,147252714616.5311,-32132980.649376582,-36299.760072128214,11089.754551531723,-2202.125157110943
0.0,-2610992942.349256,147285055058.37018,-38552437.45423729,-36323.638223857924,11036.045718021865,-2195.2744616352916
0.0,-2483136794.861219,147246924335.1317,-30986499.51190176,-36294.749726083224,11099.425425796573,-2203.4638421539867
0.0,-2524255588.230169,147259184325.65384,-33418288.204596728,-36304.44431585232,11078.29269926428,-2200.566869810919
0.0,-2357052508.1853886,147209425347.4661,-23567559.99799027,-36226.77067573543,11194.026854605752,-2218.6542484390266
0.0,-2366189816.051421,147212125344.18256,-24100010.55618596,-36234.08278531693,11184.298616708185,-2216.94889462868
0.0,-2434553888.0991964,147232441069.4704,-28117657.93932448,-36275.56402672169,11127.29904778999,-2207.5662978992677
0.0,-2546067380.799081,147265688995.02765,-34706558.61000782,-36309.377563370705,11066.603546496504,-2199.0263628173448
0.0,-2292737970.3909817,147190416037.38217,-19819902.221488692,-36154.00008108655,11286.564850808709,-2236.072792815567
0.0,-2390679565.8069844,147219400005.44208,-25538059.649729695,-36251.27409700657,11161.008208370513,-2212.977955395868
0.0,-2556431289.73738,147268778852.25305,-35317935.54240198,-36311.78303045074,11061.263547116778,-2198.3426836242757
0.0,-2339001379.263681,147204079704.6593,-22512027.013868265,-36210.594669186336,11215.245550623851,-2222.4682448551757
0.0,-2349914508.291871,147207311550.03323,-23150946.102091078,-36220.670613855065,11202.078277380531,-2220.0859038273966
0.0,-2645578415.481067,147295366072.2018,-40601595.55988215,-36330.071011615684,11022.085247242097,-2193.7165019076074
0.0,-2199267694.2535696,147163215878.47778,-14513583.267832583,-35841.34774998315,11638.724376805145,-2315.935914404114
0.0,-2179051558.110082,147157501356.85876,-13429248.544597143,-35645.124395800776,11839.000714489717,-2369.334495005426
0.0,-2575789865.343063,147274548456.38348,-36465167.88664123,-36316.202515660385,11051.784062874549,-2197.152625205577
0.0,-2274977189.925639,147185201329.24942,-18796536.11007957,-36123.395900417105,11323.651358456342,-2243.552412839034
0.0,-2521332114.855306,147258312306.56528,-33243820.11868673,-36303.81072930342,11079.87145477352,-2200.7807625873265
