#jd0_246080050-Nast_20000-obj_2024_YR4-orbit_58
t,p1,p2,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,d
240932731.8105869,3,1333,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2081262097.1533165,147124691532.26642,-6967357.692055218,-36274.05577622283,13479.709800962115,-2829.05287596139,0.9683250263764724
240932731.8105869,3,1404,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2077577309.819728,147123091786.3917,-6636505.642824054,-36679.07371582301,13326.913647020743,-2778.9806817576837,0.9611957589416281
240932731.8105869,3,572,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2080801182.6930256,147124497594.36533,-6927779.3333278075,-36325.74891361389,13474.652938952193,-2826.969948641727,0.9613463202821574
240932731.8105869,3,2203,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2077608498.017785,147123101297.3279,-6638607.24101118,-36676.00744673976,13328.41237559561,-2779.419670012001,0.9611255341644969
240932731.8105869,3,1724,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2080477723.0229387,147124355270.7165,-6896670.794336326,-36362.7051983179,13467.587953723647,-2824.6417194437504,0.9578542308925959
240932731.8105869,3,3926,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2076267238.656354,147122518289.31375,-6516810.275521666,-36799.59398392761,13222.796374165326,-2746.941698761046,0.9838221848198941
240932731.8105869,3,867,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2078988835.0828352,147123707730.60806,-6764323.808990471,-36530.57213815938,13413.120761053922,-2806.284852102045,0.9513760062260531
240932731.8105869,3,3489,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2081615904.3722687,147124856753.07224,-7002126.300141476,-36233.62047645139,13483.979732113783,-2830.759007020129,0.9736572220602973
240932731.8105869,3,603,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2081342968.0127869,147124738731.02914,-6978685.786035277,-36264.07123063608,13482.633104417433,-2829.9268533683576,0.9688158676757724
240932731.8105869,3,1517,-2074277819.7016706,147134302081.08246,-10348857.801344529,-30266.481051426104,-522.8535244629736,-0.37773745528946606,-2081055086.6304827,147124605934.29727,-6950259.337743908,-36297.08688626276,13478.192407773002,-2828.3125104917303,0.9648910841132329
240932804.95856032,3,1573,-2076491751.2956955,147134263819.0436,-10348885.436506905,-30266.476735211527,-523.3009227916227,-0.37785865887949033,-2085982381.171621,147126580253.45377,-7360914.611307416,-35921.71498594182,13576.974864037626,-2869.3879825595372,0.9854981908464465
240932804.95856032,3,1996,-2076491751.2956955,147134263819.0436,-10348885.436506905,-30266.476735211527,-523.3009227916227,-0.37785865887949033,-2085633705.1105807,147126433546.55167,-7332185.005459459,-35956.96531208335,13591.39573569414,-2873.363688857423,0.9727941842479784
240932804.95856032,3,144,-2076491751.2956955,147134263819.0436,-10348885.436506905,-30266.476735211527,-523.3009227916227,-0.37785865887949033,-2076003565.3915956,147122189333.37274,-6446536.109340562,-37003.44685050667,13103.19260699731,-2714.5942704932568,0.9954954972726785
240932804.95856032,3,434,-2076491751.2956955,147134263819.0436,-10348885.436506905,-30266.476735211527,-523.3009227916227,-0.37785865887949033,-2077413298.5067904,147122805808.20673,-6574881.2629626775,-36905.19658063641,13255.300348272276,-2760.9647688020436,0.9484503756747766
240932804.95856032,3,3631,-2076491751.2956955,147134263819.0436,-10348885.436506905,-30266.476735211527,-523.3009227916227,-0.37785865887949033,-2077993477.0156229,147123060760.73367,-6628636.775217562,-36855.8434136756,13315.049664948894,-2779.3896326903578,0.9328543441777732
240932804.95856032,3,2171,-2076491751.2956955,147134263819.0436,-10348885.436506905,-30266.476735211527,-523.3009227916227,-0.37785865887949033,-2086086045.1243217,147126619757.94928,-7369215.413772585,-35911.980205904576,13571.825699839681,-2867.808787156621,0.989615772209829
240932804.95856032,3,915,-2076491751.2956955,147134263819.0436,-10348885.436506905,-30266.476735211527,-523.3009227916227,-0.37785865887949033,-2086065131.6152267,147126617066.49664,-7368311.074388899,-35913.335887993366,13573.645657285406,-2868.4647935877024,0.9885150152345721
240932804.95856032,3,3844,-2076491751.2956955,147134263819.0436,-10348885.436506905,-30266.476735211527,-523.3009227916227,-0.37785865887949033,-2085748071.5246224,147126483359.72552,-7341377.968827345,-35945.066017970814,13587.054004481792,-2872.281453991669,0.9768010306442377
240932873.05966672,3,1180,-2078552931.7117,147134228167.4887,-10348911.172941381,-30266.472710864382,-523.7174530067057,-0.3779714802716239,-2077985673.680137,147122847755.27075,-6580708.111292698,-37044.23705430841,13208.781786141675,-2750.887372962636,0.9408276145861342
