#jd0_246080050-Nast_20000-obj_2024_YR4-orbit_57
date,jd,lon,lat,h,x_ecl,y_ecl,z_ecl,vx_ecl,vy_ecl,vz_ecl,x_earth,y_earth,z_earth,vx_earth,vy_earth,vz_earth,vx_surface,vy_surface,vz_surface,v_speed,z_impact
2032-12-22 13:57:08.135,2463589.081344158,-102.90602956188891,8.007184888751333,0.41154088122233057,-6030008.068935637,-1359188.1038288597,1572336.4709088884,-4004.5373008212455,16386.228313476775,-4011.5443650791226,-1410868.0070229399,-6157195.606358668,882624.1117064675,-4004.5373008212455,16386.228313476775,-4011.5443650791226,-4453.5271380354325,16489.11044315116,-4011.5443650791226,17544.71873153436,28.021939171146506
2032-12-22 13:56:49.592,2463589.0811295398,-99.83580529053057,7.515061920993012,0.36278331264322966,-5931044.4838106185,-1669727.1795114016,1647833.1432003437,-4177.388247968633,16352.970203790841,-3970.7901140037175,-1080311.6003530058,-6231118.402487736,828686.8474221159,-4177.388247968633,16352.970203790841,-3970.7901140037175,-4631.7686211219625,16431.74777731509,-3970.7901140037175,17527.77195499699,25.771441892314478
2032-12-22 13:56:49.425,2463589.0811276054,-99.72316076047282,7.504273262274405,0.36174824421415197,-5926908.408143164,-1680885.5370926226,1651366.7440770753,-4183.779947085258,16351.565084685544,-3969.846460011759,-1068085.1939960015,-6233382.965388605,827503.7256343131,-4183.779947085258,16351.565084685544,-3969.846460011759,-4638.325454788995,16429.45109449298,-3969.846460011759,17527.139162080843,25.688000811359686
2032-12-22 13:56:35.699,2463589.0809687437,-97.43049001228461,7.128846506828377,0.3266360975233059,-5841607.636264526,-1909886.6685938612,1705457.3368549657,-4309.3250146618575,16326.109806282064,-3940.2249926412755,-818549.4470604239,-6276329.801541211,786315.8498795131,-4309.3250146618575,16326.109806282064,-3940.2249926412755,-4767.002255415151,16385.79938031604,-3940.2249926412755,17514.11159116367,24.013710667832484
2032-12-22 13:56:32.389,2463589.08093043,-96.63766114505748,7.00867080170482,0.31576944736534457,-5809554.985338168,-1988458.7710180026,1725031.6458149436,-4352.45116193312,16316.925512318798,-3930.8703754754424,-731813.1149415903,-6288669.148624115,773124.5014302352,-4352.45116193312,16316.925512318798,-3930.8703754754424,-4811.028202171809,16370.290172523763,-3930.8703754754424,17509.544100390252,23.435670463173675
2032-12-22 13:56:22.208,2463589.0808125916,-94.89522048817145,6.723495325396363,0.29070838266090787,-5736016.711231691,-2159636.947572829,1764854.7061778463,-4445.33187276752,16297.060272753883,-3909.2977515981534,-540577.0651776488,-6311745.241951877,741808.6195716211,-4445.33187276752,16297.060272753883,-3909.2977515981534,-4905.591648467151,16336.47977864796,-3909.2977515981534,17499.371699873533,22.172479706233798
2032-12-22 13:56:17.289,2463589.080755662,-94.02963993588787,6.587054860189314,0.27907958235432484,-5697428.134447032,-2243724.2672007536,1784837.7114894416,-4490.93742166025,16286.994011356364,-3899.118497899355,-445288.0964310913,-6320924.268357831,726819.4381211852,-4490.93742166025,16286.994011356364,-3899.118497899355,-4951.866542600032,16319.464935249629,-3899.118497899355,17494.25743177528,21.547109773146765
2032-12-22 13:56:08.222,2463589.080650721,-92.27712066835046,6.314110721964656,0.2565201188696795,-5615118.503859481,-2412531.179449931,1825039.4753445184,-4582.325074199981,16266.3193783085,-3879.0631729337533,-251904.23723827768,-6334951.813866894,696822.3317424231,-4582.325074199981,16266.3193783085,-3879.0631729337533,-5044.277100010306,16284.688527138915,-3879.0631729337533,17483.79086431856,20.28918478793811
2032-12-22 13:55:57.886,2463589.0805310854,-90.0961650623725,5.964304057080526,0.22898204030382507,-5505253.616826348,-2620218.789461627,1872770.0607767247,-4694.122920328725,16240.373491548771,-3854.061502930441,-10647.859534935327,-6344059.102989444,658355.7637274179,-4694.122920328725,16240.373491548771,-3854.061502930441,-5156.739060213381,16241.149945802446,-3854.061502930441,17470.566658398337,18.748174813958606
2032-12-22 13:55:53.901,2463589.08048497,-89.22122031203762,5.844763233348267,0.21992594029286464,-5458670.936483351,-2701507.4003125755,1893515.5040340628,-4738.401477601918,16229.549252170373,-3845.476419288503,86245.99057014007,-6344832.841164727,645204.9577902574,-4738.401477601918,16229.549252170373,-3845.476419288503,-5201.074039370752,16223.26009461519,-3845.476419288503,17465.19476421188,18.13228745382602
2032-12-22 13:55:53.187,2463589.080476697,-89.0793897794006,5.8222109589276645,0.21823771590060217,-5451047.779838961,-2714754.6428082967,1896527.59590588,-4745.5232711528,16227.843753902012,-3843.900260642818,101955.81734366005,-6344851.685021954,642723.6553549787,-4745.5232711528,16227.843753902012,-3843.900260642818,-5208.197207037536,16220.409017577427,-3843.900260642818,17464.32237616652,18.033880475292566
2032-12-22 13:55:49.189,2463589.0804304234,-88.3470950304426,5.703938181514422,0.20948947483990887,-5411248.504545496,-2782860.0334397433,1911729.90956016,-4782.079003100874,16219.055899825202,-3835.683320224676,183076.17619093787,-6344334.561838916,629709.1963252004,-4782.079003100874,16219.055899825202,-3835.683320224676,-5244.715229763974,16205.705772949115,-3835.683320224676,17459.79392701312,17.528835026815017
2032-12-22 13:55:39.039,2463589.0803129543,-86.12768060379966,5.365962259866115,0.18546791205922125,-5284566.946547429,-2986112.9192538736,1958855.1277959503,-4891.813981357835,16191.816240534077,-3812.3609280571636,428873.94229781046,-6336058.431066818,592505.0974413992,-4891.813981357835,16191.816240534077,-3812.3609280571636,-5353.8467029764815,16160.542255777309,-3812.3609280571636,17445.942117452785,16.024245014721647
2032-12-22 13:55:31.460,2463589.0802252335,-84.36043042945781,5.093590368670634,0.16716453542716464,-5177885.34855611,-3145049.419445957,1994692.7225063108,-4977.700777439837,16169.963549059998,-3793.941467924601,624338.4761723056,-6322532.531997064,562508.1686328172,-4977.700777439837,16169.963549059998,-3793.941467924601,-5438.747174827493,16124.436064031966,-3793.941467924601,17434.77562450365,14.870610147830401
2032-12-22 13:55:29.938,2463589.0802076114,-84.06405111320775,5.053179996398067,0.1645293151109005,-5159530.267432388,-3171065.3545070398,2001055.6033411997,-4991.924542016918,16166.226197128379,-3791.1821825769325,657075.738623464,-6319608.837941302,558056.6278574355,-4991.924542016918,16166.226197128379,-3791.1821825769325,-5452.757740246696,16118.311472993699,-3791.1821825769325,17432.888287823946,14.679434956346583
2032-12-22 13:55:28.060,2463589.080185875,-83.45943846466989,4.96501306961486,0.15885194677989814,-5121370.797368505,-3224573.7647883217,2013533.4072393612,-5021.067822695518,16158.596914560716,-3785.239028014668,723821.7973622965,-6313163.480655692,548343.3805085355,-5021.067822695518,16158.596914560716,-3785.239028014668,-5481.431018004572,16105.814990492207,-3785.239028014668,17429.03890099255,14.297088538348461
2032-12-22 13:55:23.098,2463589.080128454,-82.40184117603091,4.8050476711534245,0.14880392253276206,-5053749.2930753995,-3316996.5082971416,2034154.3298023066,-5071.315508096785,16145.39359911912,-3774.597964490647,840421.6076521698,-6300211.311205142,530717.0115260363,-5071.315508096785,16145.39359911912,-3774.597964490647,-5530.734216203393,16084.109081794162,-3774.597964490647,17422.260924428647,13.646303369652909
